model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,9.691544292672207,12.981978893067081,8.753799392097264,-3.566378445163387e-05,,
Dummy,0,1,9.72772549163218,12.990610601305788,8.790273556231003,-6.351438390650443e-05,,
Dummy,0,2,9.590022172949004,12.872491256711466,8.842424242424242,-0.0008126818228628707,,
Dummy,0,3,10.008869179600888,13.616428961877487,8.718181818181819,-0.00035755278231341947,,
Dummy,0,4,9.75868440502587,13.054430514646201,8.742424242424242,-0.0001079462500652717,,
LinearRegression,0,0,6.135861375992209,8.438907487831003,4.330719955758809,0.5774227205752203,0.7617246610341197,0.697746434692454
LinearRegression,0,1,6.489437392095586,8.467605477197427,5.572223046796736,0.5750971111886004,0.7594016546615587,0.6531767080352759
LinearRegression,0,2,6.39421387195112,8.674511483127397,4.35629013956498,0.545517001692859,0.740638379576005,0.6430602895661147
LinearRegression,0,3,6.172340178725229,8.474160924166462,4.55206367477688,0.6125441520913155,0.7868432663590065,0.8077552301583046
LinearRegression,0,4,6.26362906123997,8.839841644442455,3.9702787210640906,0.5414148508168672,0.7388249314933018,0.6415721569713971
ElasticNet,0,0,6.21376682648013,9.280106100316047,3.7148262036288067,0.4889780273744416,0.7251881948660736,0.8273887048951476
ElasticNet,0,1,7.060687156912445,9.669281105668077,5.274987188473064,0.4459399639867836,0.6832683306879985,0.629456281308725
ElasticNet,0,2,5.78081023121276,8.829867710144864,4.12177663040131,0.5290920928834788,0.7569670103204693,0.7327269385458599
ElasticNet,0,3,6.74681381320306,9.708125020798585,4.848753515057143,0.4914899656689774,0.7362696739791726,0.8154238272873121
ElasticNet,0,4,7.263431090869471,10.01581808754318,4.314685553599247,0.41128666637785427,0.6458228781994402,0.6310204900440163
SVR,0,0,7.835978929761981,13.270051386544713,3.294432550869632,-0.0449100353055194,0.4059109411816896,0.5581292333290392
SVR,0,1,7.915331076295267,13.382360807376367,3.631779468850686,-0.0612896361635098,0.3114116327963385,0.37183228204237434
SVR,0,2,7.379053531781942,12.998026016238219,3.192862313652442,-0.020428060481023413,0.4259354257214857,0.6330141918217894
SVR,0,3,7.670553582111696,13.864327475896646,2.642715555183379,-0.03711382105198835,0.5343365524656372,0.7285167272557057
SVR,0,4,7.857342526949077,13.698743641470598,3.3317250199511084,-0.10126666317545263,0.2942271739365886,0.4945860063114606
RandomForest,0,0,6.024096385542169,9.13216584453262,3.49,0.5051412307252359,0.7550872780980935,0.7830231996297969
RandomForest,0,1,5.953855421686747,8.568619618624385,3.780000000000001,0.5648989000297638,0.8015253745964585,0.7690327960043437
RandomForest,0,2,5.213780487804878,9.065544997271866,3.05,0.5036186856905205,0.7557097854172568,0.8275366753426379
RandomForest,0,3,5.548170731707316,8.860312098780994,3.57,0.5764283878122212,0.8392194639831503,0.8645592644726791
RandomForest,0,4,6.447073170731707,9.099779681063847,4.0,0.5140486744262365,0.7591942398348335,0.7472318623975045
RandomForest_authors,0,0,8.000305589188905,11.670958778798894,5.12450817406185,0.19174804968385362,0.4405821320178671,0.5131792244751733
RandomForest_authors,0,1,6.581095076709127,9.56294156470189,3.8276352103732645,0.4580596875254739,0.7044281819283439,0.6623538373169278
RandomForest_authors,0,2,6.5598061053496854,10.525564847015184,4.371729090374961,0.33085781315674356,0.5955834654444717,0.6279919861298895
RandomForest_authors,0,3,7.290484006654521,10.87087773926666,4.498812461607496,0.3623857287441753,0.6651468890560363,0.701488538488791
RandomForest_authors,0,4,7.611522127224263,10.643754847131163,4.535325016575218,0.3351544868062747,0.6105846765280877,0.6841941541173817
XGBoost,0,0,5.854233711284686,8.852435237475378,3.244701862335205,0.5349933032380312,0.7387577247152579,0.7695128809051754
XGBoost,0,1,6.004274685339755,8.874427032249459,3.4321861267089844,0.5332878584917928,0.7379933297592974,0.7063911239667863
XGBoost,0,2,5.956884819696226,9.976921126001837,3.1491050720214844,0.3987976540633028,0.6366727148741942,0.6558682389356599
XGBoost,0,3,5.216752072404389,9.383569069230532,2.4942662715911865,0.5249220035759936,0.7272726897154174,0.810703844262428
XGBoost,0,4,6.257958788470161,9.285225794345319,3.70841383934021,0.49404026733031103,0.7047375620355409,0.6906665655532247
