model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,17.296325816159598,19.224360619972796,17.251672240802677,-8.590864457813652e-06,,
Dummy,0,1,17.314148568777107,19.241069930401164,17.24905975762641,-5.081658811523226e-06,,
Dummy,0,2,17.331625686401388,19.270438757169792,17.22816548265775,-1.0063774041890738e-05,,
Dummy,0,3,17.356178905307704,19.28052602051769,17.243209360635188,-5.357503034542077e-07,,
Dummy,0,4,17.338722751838905,19.27086041117808,17.229837024655243,-7.498989369025821e-06,,
LinearRegression,0,0,28.563514987204485,97.0899361152306,15.013962711902185,-24.506352209581628,0.1676461865470476,0.5197489886626495
LinearRegression,0,1,19.8190485305764,38.8920293014693,13.544018890409886,-3.085685934316434,0.4009455685761793,0.6259039147838714
LinearRegression,0,2,19.022995026682818,28.603085763590908,14.11263551683623,-1.203164582134208,0.45520104829001046,0.536271980246864
LinearRegression,0,3,20.62228162094779,31.4401067754379,14.843087910246687,-1.659074471300149,0.46554348524320266,0.5636918156702022
LinearRegression,0,4,21.584439094566818,44.339267761962766,13.954286450441776,-4.293928592274854,0.28957841626891356,0.561083807289339
ElasticNet,0,0,8.064874353422107,10.158425607574172,7.014411573178595,0.7207760086427231,0.8645361317200944,0.877112164511137
ElasticNet,0,1,7.552992208767039,9.767971619142683,6.035457663540793,0.7422773732475735,0.8767770819648038,0.8844873673619178
ElasticNet,0,2,8.111217963815488,10.297527253880196,6.371336017895978,0.7144467780179085,0.8579379288046929,0.8683120785035481
ElasticNet,0,3,7.845409633001144,10.025073574145937,6.072954870908217,0.7296430034392638,0.8654503704812536,0.8634896518924007
ElasticNet,0,4,7.5273745874682385,9.75439514602043,6.008088833591651,0.7437866617985465,0.8739172241445847,0.8962308198059525
SVR,0,0,12.42878614232374,17.133594014492157,8.401630815471876,0.20567749793071477,0.6511163799129255,0.7285206653341165
SVR,0,1,12.195945191782338,17.30200313446347,7.101923210138016,0.19139477440374486,0.6897954438310293,0.7707978545156414
SVR,0,2,12.383474489124872,17.060064801192148,8.677197885257515,0.21624104204237093,0.6742708147156804,0.7444947915696022
SVR,0,3,12.58317164794288,17.15351716300445,8.930359429629576,0.20846734100746156,0.6337610534285243,0.6886103769358666
SVR,0,4,12.08802516965326,17.00594399048254,7.197453530983951,0.22124197627964493,0.686335581971159,0.7547375852114009
RandomForest,0,0,5.983923205342237,8.805546030854789,4.21,0.7901966081045426,0.8918873777425456,0.9116543797634611
RandomForest,0,1,6.111856187290971,9.027948234848473,3.6550000000000007,0.779848377080138,0.8868197860597827,0.900514713189883
RandomForest,0,2,5.798428093645485,8.616458564513609,3.8149999999999995,0.8000696287320379,0.8983207473860997,0.9156553536358506
RandomForest,0,3,5.666036789297658,7.91324579613829,3.8450000000000015,0.8315497005386137,0.9161167825821009,0.9166112971290672
RandomForest,0,4,5.548862876254181,7.9783368272108,3.8499999999999996,0.8285940947354211,0.914414228725132,0.9130870959654942
RandomForest_authors,0,0,8.802739877702045,11.634177262655482,6.843694707359696,0.6337553621419008,0.7997661320387512,0.793816099525049
RandomForest_authors,0,1,9.155418762618721,12.152626931204047,6.196822955071017,0.6010815686189448,0.7803210805227668,0.7825705180539825
RandomForest_authors,0,2,8.435851624923417,11.392153129997698,6.064907733392927,0.6505115781192428,0.8135001281924852,0.8164567726711239
RandomForest_authors,0,3,8.658983910928,11.197952365537926,7.1174328696249685,0.6626818518399523,0.8264183841913444,0.7864944708500318
RandomForest_authors,0,4,8.52297336696071,11.54409562109129,5.9226454904612815,0.641143450976476,0.8030773570719991,0.7774869916996249
XGBoost,0,0,5.692979205110365,8.451483474559325,3.390751153230667,0.8067293910493099,0.8982100535587918,0.9032057111252003
XGBoost,0,1,5.8302310948169795,8.71887828205748,3.0554120540618896,0.7946640458699884,0.8915443449238362,0.895208476640662
XGBoost,0,2,6.055801598604357,9.09405549035355,3.7237534523010254,0.7772917196915823,0.8827592422066262,0.8948341257855326
XGBoost,0,3,5.874875763391673,8.644546811755209,3.369504451751709,0.7989764506427144,0.8944872600342835,0.8998074653995353
XGBoost,0,4,5.623376570838226,8.203404736562359,3.2278774976730347,0.8187870110051663,0.9049007983210813,0.8991459497984495
