model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,9.471839464882946,12.93980983537071,8.132107023411372,-0.0008089811453642071,,
Dummy,0,1,9.235607580824972,12.422549159962378,8.279264214046822,-0.0008684677198580459,,
Dummy,0,2,9.190256410256412,12.411726179124406,8.26923076923077,-0.0006482003311145679,,
Dummy,0,3,9.402762994252164,12.863129909920897,8.181969949916528,-8.710069424799904e-05,,
Dummy,0,4,9.41289173230552,12.86953706860493,8.1669449081803,-0.0002307490415951463,,
LinearRegression,0,0,6.428960051836179,8.649768685613102,4.715186116916939,0.5527973243333684,0.7454685813580391,0.6678920509869442
LinearRegression,0,1,6.742697141304181,8.988758297823832,5.349566165363687,0.4759714312756591,0.7296475716165016,0.7190601821022743
LinearRegression,0,2,6.648859115991107,8.928591255462281,4.858320906360065,0.48217509950193604,0.7209862266881562,0.6732238984632375
LinearRegression,0,3,6.414958842130645,8.766333371637922,4.731615614054849,0.5355056040531436,0.7531668314874864,0.6438841154116455
LinearRegression,0,4,6.578927072145703,8.021376341373466,6.124940659206185,0.6114274327403981,0.7922903120059905,0.6391008868945804
ElasticNet,0,0,5.350335678035505,8.057969507117928,3.7114843734962157,0.6118973167840309,0.823287218924896,0.786837524401659
ElasticNet,0,1,5.625503211496047,8.10928584332429,3.990704719851046,0.573498289654923,0.770457362070148,0.7160306567573652
ElasticNet,0,2,5.285767118315651,8.051996766014623,3.1856844487894285,0.578862193752658,0.7820620004829671,0.7991756902580485
ElasticNet,0,3,5.604079396543488,8.437432495145737,3.8937359607804076,0.5697061523328655,0.784895867363904,0.7787451316540828
ElasticNet,0,4,5.659996211648591,8.124079855151374,3.871872935519521,0.6014133776975337,0.8281185748931718,0.7215936532894635
SVR,0,0,7.602313340584123,13.202354687875745,2.849897558677873,-0.04183321295336606,0.4392477581641573,0.5707788314334837
SVR,0,1,7.2253577472489,12.47600147673446,3.074682699180455,-0.009500164179473414,0.41871416876915263,0.5079336054794651
SVR,0,2,6.99150564659497,12.39768287383726,2.6151742312708977,0.0016148947659448964,0.47264758871487766,0.6144379910352769
SVR,0,3,7.167359527400453,12.959733144789405,2.4822122208797914,-0.015164990871748163,0.4230171960718544,0.5761652307881516
SVR,0,4,7.4413844221353065,13.001781126582891,2.9629978774496184,-0.020892592934115717,0.44259137718234864,0.557994476395705
RandomForest,0,0,4.887266666666666,7.789258544089204,2.7249999999999996,0.6373500308820306,0.8102392548252367,0.8187248558796697
RandomForest,0,1,4.999533333333332,7.841909758895896,3.21,0.6011595114235895,0.7790284887495436,0.8036602592882656
RandomForest,0,2,4.741866666666667,8.374025475639938,2.27,0.5445029144886069,0.7581572298683346,0.8200996045383556
RandomForest,0,3,4.833422818791947,7.568459455099824,2.94,0.6537741488568114,0.8391569600451312,0.8591074685719712
RandomForest,0,4,4.646845637583892,7.453565607711276,2.41,0.6644922872363577,0.8220351559455972,0.7927861645753789
RandomForest_authors,0,0,5.697551569999169,9.01885950714927,3.57141679126604,0.5138182534137787,0.741045517871583,0.7463208492972678
RandomForest_authors,0,1,5.560065425686986,8.517660760792058,3.149908806596423,0.5294603369473727,0.7305869332853466,0.6501469462108108
RandomForest_authors,0,2,5.66107562777398,8.831093661393043,3.2397910292419616,0.4934223457117659,0.7195790688871356,0.7133790565449929
RandomForest_authors,0,3,5.329456404717795,7.739268656921021,3.266214875523452,0.6379701671859033,0.8401253559871017,0.7473866325689926
RandomForest_authors,0,4,5.8123619132178375,8.742610039635501,3.5071183723320827,0.5384098148289556,0.7415901682718309,0.6905804846855093
XGBoost,0,0,4.684792675077915,7.810187640533076,2.5064358711242676,0.6353985914984621,0.7980913664396361,0.7930819952966929
XGBoost,0,1,5.156423621475697,8.7113249361999,2.5199389457702637,0.5078199730018962,0.7161508476208984,0.8023595210745454
XGBoost,0,2,4.823448415199915,8.34491659222658,2.20298433303833,0.5476641102178105,0.7422160991482772,0.7872171588000155
XGBoost,0,3,4.564930193976268,7.583270583573699,2.393278479576111,0.6524177266631215,0.8235025579563752,0.8192151920020656
XGBoost,0,4,4.580040918363121,7.606415871956247,2.279874801635742,0.6505906810027602,0.8066468974196881,0.760815589632139
