model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,6.912089046231201,10.602283617553995,5.6635899450117835,-4.858703614996074e-06,,
Dummy,0,1,6.9128266140254215,10.602124517225352,5.664571877454831,-7.114845653299895e-06,,
Dummy,0,2,6.923929624215302,10.621090852623741,5.658876669285153,-3.418889615858234e-10,,
Dummy,0,3,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
Dummy,0,4,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
LinearRegression,0,0,5.468523817109047,8.173678306402245,3.79157724650117,0.40565535121217156,0.7339892171718955,0.6617658247599294
LinearRegression,0,1,5.225249232595776,7.6564755817982055,3.824376149874233,0.4784750471423418,0.748775904584912,0.6492285161214412
LinearRegression,0,2,5.316319054374531,7.613281678305773,3.715175969290133,0.4861864547674307,0.7380611192779934,0.6230758972760665
LinearRegression,0,3,5.332997628440578,7.623910553519264,4.0721002158591375,0.4894620985118264,0.7344912662838207,0.6514603609936849
LinearRegression,0,4,5.625685589020155,9.06862655173705,4.002228566888142,0.2776370880599457,0.6741382789381571,0.6482570422062074
ElasticNet,0,0,4.0841947996552435,6.800051793190828,2.5300550405033277,0.588634642129825,0.7962586325862548,0.797932628915861
ElasticNet,0,1,4.008692082520273,6.583278692688085,2.553706151932018,0.6144313008552212,0.8175610342188411,0.7763509076687707
ElasticNet,0,2,4.089991641787728,6.686427939182286,2.5761780666451335,0.6036762582103741,0.8213676404790052,0.7617848434876482
ElasticNet,0,3,4.169150341156434,6.811440176605285,2.597007720287155,0.592478714550668,0.8054382975679726,0.7871418500894855
ElasticNet,0,4,4.053447507714283,6.681653754482886,2.481864567350006,0.6078607287562026,0.8147999310820453,0.7696010568716528
SVR,0,0,4.542246447980339,9.692857539626262,1.659163291187446,0.16419120991805247,0.5913385126875943,0.8627923849822959
SVR,0,1,4.554573667680819,9.642348485037974,1.7066476877771768,0.17285254940785877,0.6091575183700213,0.8647458301722767
SVR,0,2,4.571572640533885,9.665484521811042,1.6701172535039648,0.17184998907225602,0.6015180480852338,0.8506560617638118
SVR,0,3,4.513247512303804,9.759909912959696,1.5825556945746992,0.1633110714829542,0.605387234448171,0.8845219047404392
SVR,0,4,4.6284460170809965,9.748963728635108,1.7122714244197441,0.16518678866660808,0.5991093246966026,0.8458074171661328
RandomForest,0,0,2.8447604084838964,5.760559892487977,1.3099999999999987,0.7047889106148184,0.8420278496162577,0.880057183612232
RandomForest,0,1,2.6502985074626864,4.8933031412701675,1.2800000000000002,0.7869794354263471,0.8886864362594411,0.8589251780759638
RandomForest,0,2,2.7229850746268656,5.574659913397344,1.21,0.724514649922755,0.8561247549557112,0.8843413235982801
RandomForest,0,3,2.688664571877455,5.225615281167511,1.1600000000000001,0.7601458316591228,0.874683717953508,0.8696478925760109
RandomForest,0,4,2.577274155538099,4.665431927139373,1.33,0.8088139861962376,0.9027068048799252,0.8849731947908089
RandomForest_authors,0,0,4.17885264871307,7.584963189083297,2.141591198466268,0.4881882764631027,0.6991240571665212,0.7131512291615332
RandomForest_authors,0,1,3.7069087734499746,6.180523781379812,2.3469438198678296,0.6601651977773676,0.8170076130456746,0.7085246353623453
RandomForest_authors,0,2,4.009953598209312,7.150481151906419,2.2943070993187753,0.5467557690191247,0.742029139903617,0.713094841625145
RandomForest_authors,0,3,3.7877600535794502,6.565396448160544,2.1583391392851126,0.621388051210003,0.790174077435351,0.740910692808171
RandomForest_authors,0,4,3.8252884549138018,6.281770995994159,2.289622963949752,0.6533935787537616,0.8105811997260708,0.7188123211358797
XGBoost,0,0,2.8478637609911757,5.41283651738707,1.263843059539795,0.7393527810135487,0.8609147974329969,0.8701001022898213
XGBoost,0,1,2.7811511840151137,4.987505939919232,1.3298959732055664,0.7786986105146623,0.8827379694220203,0.8487543323615618
XGBoost,0,2,2.8041313566927393,5.306021088789568,1.2887605130672455,0.7504257951858525,0.8672190310821672,0.8685803317182775
XGBoost,0,3,2.7810760780931902,4.969698209423288,1.3290374279022217,0.7830635958364196,0.8849442826026107,0.8698821226219777
XGBoost,0,4,2.64206326773715,4.680893254373631,1.2976946830749512,0.8075446985203688,0.8993793547035918,0.8785297719199707
