model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,9.289086775293672,12.501299417166145,7.095172413793103,-1.9951830410036564e-08,,
Dummy,0,1,9.289086775293672,12.501299417166146,7.095172413793103,-1.995183063208117e-08,,
Dummy,0,2,9.333698613457528,12.535522123659888,7.093663911845731,-2.1286880902415817e-07,,
Dummy,0,3,9.364328873871818,12.550057928324705,7.1005509641873275,-5.239795475509013e-06,,
Dummy,0,4,9.315320457208953,12.532100341015482,7.089531680440771,-4.468192435158613e-06,,
LinearRegression,0,0,8.718717654667765,11.628190254007832,6.381078230348786,0.1348050970074124,0.6170304258655008,0.5992845136386463
LinearRegression,0,1,7.4171708998671235,9.72829317797703,5.86101480302297,0.3944318919517117,0.668951834886169,0.6559800664511704
LinearRegression,0,2,7.737723219442336,10.057910583431315,5.759581324023003,0.35622993587187335,0.6719053098331587,0.5812954319048553
LinearRegression,0,3,7.981720262843021,10.3341067654785,6.6107426163279435,0.32195783342135464,0.654990887029751,0.5567534866266962
LinearRegression,0,4,8.787903965210608,11.790196525334625,6.720656048817787,0.11489192700332407,0.5817683479174385,0.6466939042450055
ElasticNet,0,0,6.430787069100666,9.280011378264936,4.396086718395745,0.44895544928123354,0.673065672566496,0.7226597923299674
ElasticNet,0,1,5.696207284082226,8.138299759421013,3.9779791279768535,0.5762037991769005,0.7855333137917331,0.815557016142754
ElasticNet,0,2,5.4969076915782455,8.134976103669224,3.677023423828854,0.5788587322580341,0.7991831126965395,0.7356795871408596
ElasticNet,0,3,5.506395917685796,8.204322030632744,4.169362008380375,0.5726376959664465,0.7934987191090591,0.7551890761641347
ElasticNet,0,4,6.467800940209466,9.758377120554421,4.4755638500589585,0.3936695082011774,0.6307991537047553,0.693037368878321
SVR,0,0,7.727250652649787,12.538728574681192,4.041027413819558,-0.00599702696056803,0.33443525056926793,0.4569778922975087
SVR,0,1,7.634964890267165,12.498671638579896,4.088334776833404,0.00042033674404418075,0.3897843703985676,0.5048960948952691
SVR,0,2,7.356436171035745,12.486534777271913,3.4063455165247865,0.007800282063684438,0.5045187621216187,0.6671927914702752
SVR,0,3,7.624931721213034,12.547970223422507,3.816283131447486,0.00032743471603235985,0.3959145481172755,0.5693106837033669
SVR,0,4,7.769403450041035,12.616915660640363,4.060967891667027,-0.013586023726588792,0.3358950814483384,0.42635251949390657
RandomForest,0,0,4.335934065934066,6.824157396765125,2.42,0.7020195546932304,0.8463150637909733,0.7907110517428826
RandomForest,0,1,4.0078571428571435,6.296552999088443,2.33,0.7463146306885409,0.8876889415314404,0.8265795648302738
RandomForest,0,2,4.791270718232044,7.787818225098884,2.7199999999999998,0.6140359549653849,0.7895842872181489,0.7586273853703279
RandomForest,0,3,4.758950276243095,7.7428562334537565,2.64,0.6193610683222351,0.7872772285217249,0.7530935092245381
RandomForest,0,4,4.271988950276243,7.199889079869977,2.4800000000000004,0.6699301732991163,0.8241943046961194,0.7835975459621123
RandomForest_authors,0,0,5.657830597395913,7.954410866607821,3.6832342433742626,0.5951391952856077,0.776875968005973,0.6179902634967853
RandomForest_authors,0,1,5.034174237389711,7.436801475670961,3.447450469827942,0.6461150682202318,0.826566262966745,0.7165955495387288
RandomForest_authors,0,2,5.896061301178291,9.188122865375583,3.7510032668798248,0.46275940042866537,0.6820563060553444,0.6425528802522879
RandomForest_authors,0,3,6.039522441076184,8.847650742538564,3.9995159994484037,0.5029881355497094,0.710007604665815,0.48292207590553665
RandomForest_authors,0,4,4.965712975506595,7.604284595733811,3.4256887115896077,0.6318108909184443,0.8022013012501817,0.6722860492760163
XGBoost,0,0,4.190574369423992,6.778331817985667,2.114854723215103,0.7060081139044418,0.8404958980941383,0.8032767646287724
XGBoost,0,1,4.156015719952328,6.728447573660109,2.2747303247451782,0.7103193806950718,0.8442884204768373,0.8361222421868698
XGBoost,0,2,5.255217657563436,8.456536112720453,2.6727097034454346,0.5449068981347391,0.739861829870576,0.7792550349642622
XGBoost,0,3,4.634831616377139,7.933258670186878,2.1574995517730713,0.600410521114596,0.7758331277502021,0.7788608893824618
XGBoost,0,4,4.473990037273204,7.532688137250964,2.6524171829223633,0.6387114580081661,0.799779093817458,0.8012936836864669
