gene,frequency
nUMI,1.0
CG9377,1.0
Fas1,1.0
RpS14b,1.0
Gapdh1,1.0
Ggamma1,1.0
Pur-alpha,1.0
nrv2,1.0
CG13117,1.0
mt:lrRNA,1.0
mt:CoIII,1.0
CG3793,1.0
mt:ND6,1.0
sta,1.0
Tob,1.0
TM4SF,1.0
CG42340,1.0
Hasp,1.0
Hsromega,1.0
GluClalpha,0.98
roX2,0.98
dpr21,0.98
CG34423,0.98
Hr38,0.98
Gapdh2,0.98
cathD,0.96
jdp,0.96
ssx,0.96
ATPsynF,0.96
CR44272,0.96
CG31808,0.96
Hsp83,0.94
ChAT,0.94
chrb,0.92
CG8034,0.92
Hs3st-A,0.92
CG42541,0.92
Tsp42Ed,0.92
Vang,0.92
CG7781,0.9
kcc,0.9
Cbp53E,0.9
CG8507,0.88
Ppcs,0.88
CG14985,0.86
CG42392,0.86
CG17219,0.84
cv-2,0.82
CDK2AP1,0.82
COX6B,0.82
COX5A,0.82
CG32259,0.8
mt:ND3,0.8
mt:ND4,0.8
CG15784,0.8
CG44102,0.78
Mipp2,0.78
NPF,0.76
eEF1alpha1,0.76
CR44690,0.74
CR44813,0.7
CG32264,0.7
MtnE,0.7
Tsf1,0.7
Sidpn,0.66
Pde9,0.66
DhpD,0.66
chinmo,0.64
CG14340,0.64
l(2)k09848,0.62
Xrp1,0.6
CG41378,0.58
ver,0.58
Rab27,0.58
NitFhit,0.58
CG9328,0.54
Hsp26,0.54
RluA-2,0.52
Obp44a,0.5
CG7708,0.5
eag,0.5
dpr1,0.48
Mpcp2,0.48
CG8369,0.48
CG11000,0.46
CG7627,0.46
Dh44,0.44
dgt2,0.44
nkd,0.44
Bsg25D,0.44
glob1,0.42
TwdlG,0.42
CR40469,0.42
nAChRalpha6,0.42
Gpdh,0.38
CG6833,0.36
RpLP2,0.34
GM130,0.34
CG4004,0.34
CG9062,0.32
Ptp10D,0.32
CG11768,0.32
mub,0.32
CG10353,0.32
CG42540,0.32
Rbp1-like,0.3
mt:ND4L,0.3
ND-B22,0.3
put,0.3
CR45332,0.3
Dscam4,0.3
CR45683,0.28
CG11178,0.26
Act5C,0.26
inaC,0.26
Ten-a,0.26
Cyt-c-p,0.26
Pabp2,0.26
mAChR-B,0.24
Nca,0.24
Rack1,0.24
CG4854,0.24
kirre,0.24
CG34351,0.22
CCDC53,0.22
dpr11,0.22
CG43338,0.22
mfrn,0.22
MRE16,0.22
Snap25,0.22
CG42694,0.22
CG11835,0.2
CG5509,0.2
CG5773,0.2
CG12822,0.2
CG6204,0.2
Taf11,0.2
tef,0.2
CG43324,0.18
Hug,0.18
kek3,0.18
CG11436,0.18
CG15579,0.18
ND-ACP,0.18
tth,0.18
CG32333,0.18
Mulk,0.18
CG2974,0.18
CG42346,0.18
GC2,0.18
CG14762,0.18
CG42524,0.18
GstO3,0.18
CR45111,0.18
Tet,0.16
shv,0.16
slp2,0.16
VAChT,0.16
wisp,0.16
COX8,0.16
CG2321,0.16
CG31174,0.16
CG42313,0.16
dl,0.16
2mit,0.14
CR46004,0.14
CG14989,0.14
Ggamma30A,0.14
CG42259,0.14
RpLP1,0.14
CG33181,0.14
CG42240,0.14
CG14086,0.14
CG34155,0.14
nolo,0.14
CG9986,0.12
Wee1,0.12
CG31675,0.12
Trh,0.12
c12.2,0.12
CG8405,0.12
stmA,0.12
CG32700,0.1
RpL39,0.1
CG11168,0.1
sky,0.1
Rlb1,0.1
Octbeta2R,0.1
per,0.1
Imp,0.1
CG14621,0.1
Ptp99A,0.1
CG18467,0.1
CG33267,0.1
Tsf2,0.1
su(w[a]),0.08
ST6Gal,0.08
CG16972,0.08
CG4045,0.08
CG45081,0.08
CG4858,0.08
Nlg2,0.08
nAChRalpha1,0.08
CG7222,0.08
CG1552,0.08
Ace,0.08
CG7239,0.08
CG2662,0.08
CG7381,0.08
CG8273,0.08
Hel89B,0.08
CR45620,0.08
CG15201,0.06
CG3065,0.06
CG6512,0.06
CG42784,0.06
Cc2d2a,0.06
bdg,0.06
DnaJ-1,0.06
Ktl,0.06
hig,0.06
l(3)02640,0.06
JhI-21,0.06
stv,0.06
Ada3,0.06
18w,0.06
wake,0.06
CG32052,0.06
CG8771,0.06
mt:ND2,0.06
Lsm10,0.06
NLaz,0.06
Act79B,0.06
CG2016,0.06
Tsp42El,0.06
Ppt1,0.04
Pgi,0.04
CG43729,0.04
CG43737,0.04
CG12402,0.04
phr6-4,0.04
glec,0.04
CG4409,0.04
CG30197,0.04
Syx1A,0.04
CG6154,0.04
CG6418,0.04
CG15385,0.04
CG16952,0.04
comt,0.04
CR6900,0.04
CG3309,0.04
CG9650,0.04
MED31,0.04
CG11319,0.04
snoRNA:Or-CD2,0.04
mGluR,0.04
Sod3,0.04
Sema2b,0.04
Uhg4,0.04
Shroom,0.04
CG7341,0.04
AttB,0.04
Hsp70Bb,0.04
CG12717,0.04
DIP-eta,0.04
Ddc,0.04
fz2,0.04
ldbr,0.04
IRSp53,0.04
Ir25a,0.04
CG43902,0.02
CG43693,0.02
Taf5,0.02
Taf7,0.02
Ssu72,0.02
spri,0.02
CG42342,0.02
ssp,0.02
CG3714,0.02
CG6218,0.02
CG13071,0.02
Gat,0.02
Nf-YC,0.02
nonA-l,0.02
ogre,0.02
nrv1,0.02
bru1,0.02
Picot,0.02
Gem2,0.02
RapGAP1,0.02
CG43759,0.02
CG31323,0.02
CG1885,0.02
CG31475,0.02
grim,0.02
GlcAT-P,0.02
Elp1,0.02
esn,0.02
hth,0.02
kay,0.02
Hsp23,0.02
CG1146,0.02
Gyc89Db,0.02
Hsp70Bc,0.02
hbs,0.02
GstD9,0.02
jigr1,0.02
jeb,0.02
Lmpt,0.02
CG12655,0.02
CG10947,0.02
CG10959,0.02
CR18275,0.02
CR43651,0.02
CR44092,0.02
CR44320,0.02
CR45557,0.02
CR44832,0.02
CR46268,0.02
CR45815,0.02
CG13409,0.02
Cyp28d1,0.02
CstF64,0.02
crok,0.02
CG13300,0.02
CG14186,0.02
CG13739,0.02
CG13876,0.02
ecd,0.02
Eaat1,0.02
dpr6,0.02
CG14183,0.02
Debcl,0.02
DNaseII,0.02
dpr16,0.02
DppIII,0.02
