model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
XGBoost,0,0,5.626882901392787,8.525437339201462,2.6328206062316895,0.5687123478303414,0.7624644262021548,0.7975381928152444
XGBoost,0,1,5.136080234524715,7.720308924142345,2.914309501647949,0.646786079718639,0.8185297461718983,0.7538213642535672
XGBoost,0,2,4.409304679325986,8.296122145284086,2.310004949569702,0.5843020678963875,0.7768183829977761,0.8429149153384932
XGBoost,0,3,4.890531787603367,9.002721225159872,2.346754789352417,0.5627030880965855,0.7639540791675932,0.8497289719763296
XGBoost,0,4,6.303971159385472,8.844448707953287,3.770596742630005,0.5409367242759672,0.7483621088047666,0.7014933020042599
XGBoost,1,0,4.84287098088268,7.318469105244048,2.713296890258789,0.6821851553816437,0.8410119299332981,0.7723886323355534
XGBoost,1,1,5.835402008370463,8.697612886022956,3.4861128330230713,0.551700141554212,0.7586018471822585,0.763511185104279
XGBoost,1,2,5.042799354689877,8.703110278813806,2.7199037075042725,0.5425153128278897,0.7491361569379136,0.8376442901254245
XGBoost,1,3,6.172946847793533,10.053062174581195,3.3495614528656006,0.4547124987207587,0.6756126160366385,0.6674760143837786
XGBoost,1,4,5.286398705503926,8.690747227062156,2.3889079093933105,0.5567535631644751,0.788400870382236,0.8141397733311876
XGBoost,2,0,4.746409763727921,7.400447123041328,2.367419719696045,0.6750252556985845,0.8336014125709225,0.8477205858567879
XGBoost,2,1,5.995190722396575,8.997394583319211,3.5214099884033203,0.5202643559710555,0.7228556436524269,0.7476869541202578
XGBoost,2,2,5.72748690207557,8.852035744095978,3.7924516201019287,0.5267246267143,0.7465964312536674,0.6853573319858154
XGBoost,2,3,5.640467336810216,9.256841484936613,3.234470844268799,0.5376674612751196,0.7744452692075621,0.7831100973477212
XGBoost,2,4,5.466354212201223,8.62559657900699,3.208709716796875,0.5633742943636434,0.771956706334494,0.7661346400630311
XGBoost,3,0,4.951240391795894,7.596076884312083,2.7071661949157715,0.6576168410325568,0.819110950693463,0.8232926161419152
