model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
XGBoost,0,0,5.454047222100883,8.113033860575733,3.331359386444092,0.8218989421965126,0.9072416685070452,0.9228068791069233
XGBoost,0,1,5.976269134135378,8.648407172619647,3.668466329574585,0.7979699238687827,0.894267882175498,0.8922113074171518
XGBoost,0,2,5.513620882402533,7.931997653119644,3.5868444442749023,0.8305715574072969,0.9135850049770742,0.9081830434056957
XGBoost,0,3,5.493255029923056,7.717111129635362,3.3674726486206055,0.8397965056745915,0.9179602556039624,0.9110581104759572
XGBoost,0,4,5.4458235709875025,7.815111546109107,3.450031280517578,0.8355357882628751,0.9145445428367496,0.9178523214299168
XGBoost,1,0,5.438459399613382,8.134699739868857,3.12679386138916,0.8209464333218709,0.9083747581462498,0.9199333655019516
XGBoost,1,1,5.537475864683281,7.905806172962134,3.726439952850342,0.8311752575153561,0.9130519761961253,0.9099458040436621
XGBoost,1,2,5.736764765497185,8.053820604734188,3.7988826036453247,0.8253272860737693,0.9094074635429217,0.9033329209488022
XGBoost,1,3,5.548663459113958,7.973355928214524,3.35829496383667,0.8289808362219213,0.9111880115132067,0.9129163699212518
XGBoost,1,4,5.879340941771665,8.302234695682168,4.1515583992004395,0.8143944073872214,0.904823555034505,0.9040042819583414
XGBoost,2,0,5.644823678895887,8.147197011781511,3.463148832321167,0.8203958536946426,0.9062823349268944,0.9089162466712082
XGBoost,2,1,5.559961373064306,7.676175518733669,4.060093402862549,0.8408401343468399,0.918929476881228,0.9160917043103396
XGBoost,2,2,5.826095106600345,8.26372007311785,3.758673667907715,0.8161039675444043,0.9067751681688587,0.9014833827337991
XGBoost,2,3,5.536015446807093,8.088964469255949,3.4659953117370605,0.8239855465102717,0.9079019163885785,0.9067830767290784
XGBoost,2,4,5.465863689225802,7.932847154331563,3.418267250061035,0.8305431150100404,0.9120807822591726,0.9018964589473242
XGBoost,3,0,5.816202071976175,8.391093303421183,3.7363834381103516,0.809481557636166,0.9009279413697121,0.901141458820363
XGBoost,3,1,5.5173957402160685,8.057483754783258,3.3564300537109375,0.8246351096327448,0.9083846908041153,0.9055488099033528
XGBoost,3,2,5.4496943574781485,7.860167206104042,3.4279932975769043,0.8336262773691345,0.9142329000955121,0.9066315520119316
XGBoost,3,3,5.654829963670271,7.9684264309939925,3.624821186065674,0.8291922347591008,0.9123369210414957,0.9130673490618726
XGBoost,3,4,5.517577419344049,7.822335295956346,3.802546501159668,0.8352316090090421,0.9162895741821024,0.911504645120585
XGBoost,4,0,5.550663343892325,7.916054728890726,3.5441150665283203,0.8304423073620799,0.9124658411775881,0.9183397171575031
XGBoost,4,1,5.66528291717237,8.157231493284328,3.5593111515045166,0.8202663700726611,0.908347454612568,0.9102405488870092
XGBoost,4,2,5.550847244534617,7.927003735234848,3.5265660285949707,0.8307848316452109,0.912649519695135,0.9148177531687882
XGBoost,4,3,5.62844957281091,7.894404795214883,3.809154510498047,0.8323508873186538,0.912798858254618,0.911221477065827
XGBoost,4,4,5.759820353495187,8.405774465662443,3.464997887611389,0.8097360484795091,0.9008251704031572,0.8962665624744506
XGBoost,5,0,5.61399718160074,8.055743900443877,3.8003435134887695,0.8244053725050808,0.9088973348380399,0.9117209886120783
XGBoost,5,1,5.422276678801916,7.799051358296405,3.5820345878601074,0.8357038708687385,0.9160009225565685,0.9187857059223963
XGBoost,5,2,5.475178942003327,7.882421362468983,3.459409475326538,0.8326828500561737,0.9141584340473554,0.9084320787143859
XGBoost,5,3,5.496369559861748,7.765287497311697,3.5107654333114624,0.8377900259585376,0.9165851317746778,0.9097351820369807
XGBoost,5,4,5.713791116287178,8.294021613040211,3.569091796875,0.8147614507471039,0.903426768841624,0.9002157863959243
XGBoost,6,0,5.718559779058085,8.378995913517238,3.5630836486816406,0.8100305002845113,0.900937714340478,0.9060102269364722
XGBoost,6,1,5.1641969352923205,7.209623391471777,3.4652396589517593,0.8595994111952496,0.928749255309263,0.9181925795150591
XGBoost,6,2,5.651013528373728,7.9708020815165535,3.671642303466797,0.8289097677752113,0.9120388849774086,0.9159180829348635
XGBoost,6,3,6.056262051129097,8.680154060444687,3.784276247024536,0.7973169912157234,0.8942879440041475,0.8923992309284358
XGBoost,6,4,5.745436171555649,8.265911069492619,3.6680524349212646,0.8160149637860311,0.9042012141184479,0.902125746176878
XGBoost,7,0,5.620223947830237,8.169521579180792,3.5986013412475586,0.819410219420218,0.9055248678936602,0.8963125743121646
XGBoost,7,1,5.261616621295731,7.842938007460778,3.0544910430908203,0.8338496213283247,0.9155730755350896,0.9150359912327459
XGBoost,7,2,5.785630336850508,8.024859606779225,3.95721435546875,0.8265812501221154,0.9101651531114368,0.9014457077971962
XGBoost,7,3,5.740037376559449,8.107878887523064,3.6017208099365234,0.8231614352528784,0.9078896843515396,0.9046221203014402
XGBoost,7,4,5.760517183466998,8.261302425905996,3.684676766395569,0.8162200676327885,0.9041859287297569,0.9159478168098151
XGBoost,8,0,5.253341069215682,7.602735372112902,3.2868614196777344,0.8435989478404353,0.9197714449035065,0.921903830555869
XGBoost,8,1,5.684213919468912,8.156673286960043,3.675522804260254,0.8202909678828898,0.9072488428753107,0.9084893826618595
XGBoost,8,2,5.573212255321966,8.147767892941582,3.4230871200561523,0.821228426773243,0.9072022658611822,0.9113256900027996
XGBoost,8,3,5.639017317104574,7.938221913804185,3.783207893371582,0.8304846826853605,0.9126413542159335,0.8979892378716539
XGBoost,8,4,5.555913090352343,7.973402273240827,3.445256918668747,0.8288060562366356,0.9108018651280134,0.904627022664334
XGBoost,9,0,5.448778165961446,7.768345018480415,3.6364569664001465,0.8367109984807237,0.9196886155970161,0.9209822676439487
