gene,frequency
igl,1.0
RpS23,1.0
Pgk,1.0
Fas1,1.0
Pglym78,1.0
PMCA,1.0
TM4SF,1.0
Neb-cGP,1.0
spab,1.0
COX6B,1.0
CG3857,1.0
Eno,1.0
RFeSP,1.0
roh,1.0
CanA-14F,1.0
Nacalpha,1.0
ATPsynF,1.0
COX7A,1.0
COX7C,1.0
mt:CoIII,1.0
mt:CoII,1.0
CAH2,1.0
CG7630,1.0
noe,1.0
Dscam4,1.0
CG34449,1.0
Hsp83,1.0
CG16779,1.0
Mpcp2,1.0
Hsromega,1.0
CG6329,1.0
ATPsynE,1.0
Vha36-1,1.0
Vha14-1,1.0
Vha13,1.0
Gapdh1,1.0
UQCR-C2,1.0
Df31,1.0
porin,1.0
Cyt-c-p,1.0
VAChT,1.0
Galphao,1.0
FoxP,1.0
FK506-bp2,1.0
Ddc,1.0
sun,1.0
fz,1.0
HDAC4,1.0
Gapdh2,1.0
CG1129,1.0
nUMI,1.0
blw,0.98
Tpi,0.98
mt:Cyt-b,0.98
CG6836,0.98
CG31808,0.98
ATPsynD,0.98
COX5B,0.98
CG31997,0.96
Tob,0.96
Rip11,0.96
cype,0.94
Ip259,0.94
CG9328,0.92
ATPsyngamma,0.9
Gpb5,0.9
CG11835,0.88
ATPsynCF6,0.86
COX4,0.84
levy,0.84
Dys,0.84
Mdh2,0.84
ND-B22,0.82
UQCR-Q,0.82
CG6767,0.82
nkd,0.82
ATPsynG,0.8
mt:ND4,0.76
CG17816,0.74
pch2,0.7
CG12716,0.68
5-HT1A,0.68
RpS15Aa,0.66
prt,0.66
CR43825,0.62
mt:lrRNA,0.62
RhoL,0.62
ND-B16.6,0.58
Act79B,0.56
Ggamma1,0.56
Ac78C,0.52
Yeti,0.52
flw,0.52
CR44655,0.5
CG31777,0.5
Lar,0.5
CG14985,0.48
CG4089,0.48
Fis1,0.44
CG10077,0.44
CR40469,0.42
snRNA:7SK,0.36
Lam,0.36
Sirt6,0.34
CG15459,0.32
mus205,0.32
CG8012,0.32
myo,0.32
HmgZ,0.3
chrb,0.3
CG14968,0.28
ksr,0.28
RpL12,0.26
Tsp42Ej,0.26
UQCR-14,0.24
mt:CoI,0.24
h,0.22
aru,0.22
DnaJ-1,0.22
CHKov1,0.2
wry,0.2
CG6770,0.2
PyK,0.2
mspo,0.18
CG42867,0.18
crc,0.16
CG1503,0.16
CR46029,0.16
jeb,0.14
betaTub56D,0.14
alphaTub84B,0.14
Cad96Cb,0.14
TwdlG,0.12
CG32767,0.12
CG13117,0.12
RpS30,0.12
CG15784,0.12
CG5890,0.12
Xrp1,0.1
vret,0.1
glec,0.1
CG18812,0.1
CG17224,0.1
cib,0.1
NT5E-2,0.08
Tes,0.08
CR45530,0.08
eEF1alpha1,0.08
dgt2,0.08
Rack1,0.06
Vinc,0.06
CG11686,0.06
Bsg,0.06
CG3552,0.06
moody,0.06
oaf,0.06
loh,0.06
stv,0.06
CG31030,0.04
natalisin,0.04
mt:ND6,0.04
CG31140,0.04
CG5167,0.04
Ptp61F,0.04
CG6357,0.04
eIF2D,0.04
LysRS,0.04
CG42674,0.04
Cyp12e1,0.04
CR46271,0.04
CG10680,0.04
Hsp26,0.04
corn,0.04
CG3793,0.04
Ssrp,0.02
sstn,0.02
CG13055,0.02
Gr2a,0.02
CNBP,0.02
stet,0.02
Gyc89Da,0.02
fz3,0.02
Lsm10,0.02
PIG-S,0.02
hfp,0.02
CG11456,0.02
COX8,0.02
Liprin-beta,0.02
CG31869,0.02
CG5196,0.02
CG13928,0.02
Gfrl,0.02
SK,0.02
Sirup,0.02
CG42450,0.02
ATPsynO,0.02
Act5C,0.02
CG3662,0.02
tutl,0.02
CG16771,0.02
brat,0.02
RpL22,0.02
Hsp67Bc,0.02
MRE16,0.02
bsf,0.02
eEF5,0.02
CG34261,0.02
