model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
XGBoost,0,0,2.8617352542933077,4.713658310634349,1.659311294555664,0.773808385187593,0.8844454624306326,0.8348640528664162
XGBoost,0,1,2.898387614149486,5.338164523644876,1.5908654928207397,0.7099091073885242,0.8434210941974123,0.8301503024737544
XGBoost,0,2,2.6529634063042242,5.113979812712346,1.3979053497314453,0.733593820896989,0.8599045406129153,0.879025427955372
XGBoost,0,3,2.7705435607986586,5.199531520415918,1.5298876762390137,0.7134283122800006,0.852580404267666,0.8469052931795344
XGBoost,0,4,2.58679473229817,4.9830059478522815,1.3837976455688477,0.7334273444893897,0.8605659230259843,0.8410034782392489
XGBoost,1,0,2.757315274332078,5.013492994072694,1.347100019454956,0.7441171786791928,0.8678470919268455,0.8418990584548237
XGBoost,1,1,2.646924589134103,4.899075079696005,1.3438993692398071,0.7556691109366999,0.8736559814357936,0.8557193282619925
XGBoost,1,2,2.816517621989509,5.091371373647097,1.3947217613458633,0.7359441290554415,0.8619607222800005,0.8612659962763115
XGBoost,1,3,2.66329288559321,5.02489178617068,1.4389872550964355,0.7323555280991503,0.8568926287718053,0.8476444632919452
XGBoost,1,4,3.0278447988704054,5.378978396272423,1.5897806882858276,0.6893778744330836,0.8308510933163011,0.8319242740451573
XGBoost,2,0,2.8457909388336957,5.650726248101169,1.366418719291687,0.6749360246766294,0.8253352052485601,0.892861207112254
XGBoost,2,1,2.8203322548427407,5.2074367237363814,1.5571146607398987,0.7239433662504332,0.8597158407687382,0.8193046424588534
XGBoost,2,2,2.8130614364564646,4.990736301681556,1.471792459487915,0.746279521406969,0.8742928871631992,0.8628882461595411
XGBoost,2,3,2.7796011297114114,5.251129647065537,1.4854040145874023,0.7077124395239774,0.8453007570459998,0.8307643853355269
XGBoost,2,4,2.83564313703145,5.147383276286117,1.534989833831787,0.7155500894116625,0.8462342853869504,0.8473196469332057
XGBoost,3,0,2.7578347759196746,4.826148453255589,1.4921228885650635,0.762883563657679,0.8740566377281376,0.8309616895943942
XGBoost,3,1,2.752908210237429,5.049837952524673,1.5067405700683594,0.7403997724022051,0.8696798578247494,0.8592447148362904
XGBoost,3,2,2.783154972656344,5.294827503461733,1.3271297812461853,0.71441860723422,0.8470492185315753,0.8535419003410677
XGBoost,3,3,2.6843880083514273,4.805216956449942,1.5253045558929443,0.755245405749764,0.8792632080530863,0.8558529025645167
XGBoost,3,4,2.812786680495029,5.266154224108994,1.476585865020752,0.7022718255436716,0.8410881916675381,0.8560840074940755
XGBoost,4,0,2.9726609937282964,5.5634721299150165,1.5504482984542847,0.68489728922196,0.8309288290847763,0.8550560142044283
XGBoost,4,1,2.7884479355017997,5.291806301710227,1.463634967803955,0.7149257022361528,0.852643630607695,0.8647214126266584
XGBoost,4,2,2.669259293571629,5.1711998867264155,1.4378892183303833,0.72759885696867,0.8556018977207114,0.8737434515185286
XGBoost,4,3,2.645798295424166,4.642826168192197,1.3863482475280762,0.7715086845669019,0.8838740163831059,0.8379572940054263
XGBoost,4,4,2.842426892252291,5.0862731837617945,1.6642866134643555,0.7222640155977279,0.8520490948321466,0.822964874155577
XGBoost,5,0,2.8560004228350233,5.35611791462517,1.4782543182373047,0.7079477445249736,0.8452795153933369,0.8553899880407172
XGBoost,5,1,2.6803793583513063,5.0205735924134025,1.5799255967140198,0.743399877275239,0.8673641317265386,0.8774684214082847
XGBoost,5,2,2.722724346020729,4.9394554963115835,1.4039322137832642,0.7514667901564068,0.8738333363799077,0.8452110337728079
XGBoost,5,3,2.818400606999153,4.806112391694641,1.6031179428100586,0.7551541789385698,0.8713034428138285,0.812080363304454
XGBoost,5,4,2.8358086201372545,5.089828509508144,1.6129670143127441,0.7218756027172921,0.8530287097439284,0.8246573373510835
XGBoost,6,0,2.633131130814977,5.018979925478035,1.3389652371406555,0.7435567790583304,0.8696164759040592,0.8581026300234667
XGBoost,6,1,2.7614921985414664,4.935060995399426,1.5063557624816895,0.752066486781963,0.8708522965472173,0.868421990528503
XGBoost,6,2,3.0434859875842863,5.413150928776336,1.4869744777679443,0.7015122257921329,0.8379982416120182,0.8265296359946975
XGBoost,6,3,2.655637594823122,4.754966193560615,1.5295219421386719,0.760337702718901,0.8752197343961559,0.8356628003158293
XGBoost,6,4,2.6201841106024255,4.985325738308768,1.4110990762710571,0.7331790860477694,0.8589274511685492,0.8536632328812318
XGBoost,7,0,2.632277339100511,4.9148254817348365,1.4656572341918945,0.7540898196524731,0.8750151407475633,0.8554726586657
XGBoost,7,1,2.7450156912785597,5.04610374146685,1.5129690170288086,0.7407835643682232,0.8643156940764646,0.872679514183507
XGBoost,7,2,3.0708788932921984,5.707608948894725,1.634382724761963,0.668155445363862,0.8184622649835058,0.84427474060712
XGBoost,7,3,2.891686725145677,5.396849912375755,1.5824824571609497,0.6912652380357664,0.8323978182667063,0.7978811899911058
XGBoost,7,4,2.696149607884933,4.583965202856022,1.5626444816589355,0.7744123024682182,0.8836977882179855,0.8434560880523152
XGBoost,8,0,2.791020895787433,5.002617695816135,1.4215446710586548,0.7452260996525386,0.8648696432862097,0.825445216250987
XGBoost,8,1,2.795576250343992,5.412535736974313,1.525935411453247,0.7017697183820112,0.8494120521862449,0.8682662935933361
XGBoost,8,2,2.8126318652645925,5.135616636737819,1.3348077535629272,0.7313347671974179,0.860360248644607,0.8371476703181252
XGBoost,8,3,2.7056516956046717,4.816120922378406,1.5005135536193848,0.7541333544990397,0.8711145814359609,0.8836136841109528
XGBoost,8,4,2.771941459909655,5.080721263210559,1.50309419631958,0.7228700100051983,0.8527937140238148,0.8444219290451905
XGBoost,9,0,3.049709995162853,5.142976099182914,1.7027907371520996,0.7307291645317973,0.8575077287981674,0.7799382317303022
XGBoost,9,1,2.8270644750691165,5.3326144244233475,1.428703784942627,0.7105120098479394,0.844535343622683,0.8634678973762411
XGBoost,9,2,2.8043350735720116,5.1699370696396905,1.5039705038070679,0.7277318825037641,0.8695415583600759,0.8437976880098795
XGBoost,9,3,2.6371174299700573,4.877026849115487,1.4898127317428589,0.7478754455481642,0.8706485435538891,0.8670955903227848
XGBoost,9,4,2.9523102807090873,5.52129453523083,1.5078539848327637,0.6727236538567541,0.8202720398861079,0.8571050078440712
