model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
XGBoost,0,0,4.22398422986269,6.894875365429632,2.6633859872817993,0.7158496166356016,0.8574512983997153,0.8070267805893783
XGBoost,0,1,4.3321864160895345,6.731673403592483,2.5150145292282104,0.7060986142595979,0.844711659722133,0.8247819711451605
XGBoost,0,2,3.9469957116929195,6.936768988674792,1.95096755027771,0.687441358730978,0.839729889704246,0.8209099609862931
XGBoost,0,3,4.257820543239281,6.88366685893766,2.360144853591919,0.7135926213835877,0.8609755200311745,0.8787548373603861
XGBoost,0,4,4.285125829379431,7.084410867914751,2.3581619262695312,0.6969028641741615,0.8401487838799858,0.7865320324448343
XGBoost,1,0,4.276683548788229,7.0004536651864075,2.2940050661563873,0.7070808420727512,0.8546835779792226,0.8124056634439191
XGBoost,1,1,3.9634710493683816,6.5536712926844585,2.2185471057891846,0.7214360776268178,0.8531772166286333,0.8221836502405169
XGBoost,1,2,4.719420849581559,7.0153795680075035,3.04731635004282,0.680317108984239,0.827398339140049,0.7672136333626097
XGBoost,1,3,4.36976181998874,7.0633623817930875,2.1333651542663574,0.6984443358618981,0.8462861848716551,0.8184106766645077
XGBoost,1,4,4.757449396504652,7.643276961449584,2.4591658115386963,0.6471959636950502,0.8088208205642258,0.7899823142045671
XGBoost,2,0,4.63463426006337,7.235383007055315,2.7372761964797974,0.6870907099353382,0.8350454764455574,0.7888476321796858
XGBoost,2,1,4.770794757331411,7.534782631266836,2.2143230736255646,0.6317887826377729,0.8008173154550164,0.786363555207638
XGBoost,2,2,5.141290770877774,7.981245629009854,2.8711845874786377,0.5862305705941797,0.7795831627188073,0.7268229729696416
XGBoost,2,3,4.009239248681388,6.67766909934234,1.9947285652160645,0.7304779487970475,0.8611258250802618,0.8255723326031809
XGBoost,2,4,3.9688520150996696,6.820214805391962,2.3395609855651855,0.719087892812601,0.8489033603506801,0.8705378548109891
XGBoost,3,0,4.735296231359244,7.730917723214696,2.5545276403427124,0.6427621156594902,0.8018394211776976,0.7709096247209829
XGBoost,3,1,4.546098589524627,7.335310447253138,2.0446496307849884,0.651026413569781,0.8127179145644886,0.7904989833835663
XGBoost,3,2,4.526239496221145,7.2529278109221895,2.2266041040420532,0.6583009614925217,0.8204594956893042,0.8139725719537112
XGBoost,3,3,3.9812560855042216,6.274634537939054,2.0135490894317627,0.7620304520974684,0.8849122469410771,0.8461958444983905
XGBoost,3,4,4.3276589921669375,6.83264692406149,2.4271697998046875,0.7180628472024098,0.8598713014565347,0.8324855988732893
XGBoost,4,0,4.218754156902432,6.832804623375825,2.403470039367676,0.720942684816644,0.8537382213647707,0.8531944753479074
XGBoost,4,1,4.283936308274667,7.045622478410726,2.3357468843460083,0.6780456504182266,0.8275272908166444,0.8094758436891331
XGBoost,4,2,4.226832400622468,6.217770665820934,2.3257685899734497,0.7488770258772626,0.8654953240961722,0.7898772116559664
XGBoost,4,3,4.458122088730136,7.516989406870859,2.34806227684021,0.6584672220370654,0.8227393221130241,0.7774575397553882
XGBoost,4,4,4.293180520752532,7.03776411438223,2.6571803092956543,0.7008811626479886,0.8471988342831325,0.8124541333507123
XGBoost,5,0,4.111192715813716,6.746614033161566,2.55920946598053,0.7279384695715214,0.8606572928387644,0.8059704392592961
XGBoost,5,1,4.472216016675035,6.931249612457718,2.60532808303833,0.6884134967937985,0.8339252188358021,0.7972352644715333
XGBoost,5,2,3.8379329339414836,6.248907595886845,2.2893874645233154,0.7463556151883449,0.8653135674056397,0.8467504744441031
XGBoost,5,3,5.25095344889884,8.722428437523803,2.402775287628174,0.5401466611007393,0.7400058395556363,0.7902269247478619
XGBoost,5,4,4.34429486655949,7.512610470832173,2.252351760864258,0.6591556544284313,0.828322064876792,0.8048558013008063
XGBoost,6,0,4.532042817622423,7.297901786776842,2.215230107307434,0.6816598364879722,0.8271705142385988,0.8680858288511945
XGBoost,6,1,4.395378233715892,6.490545778496672,3.070065975189209,0.7267765356399329,0.8575469882781963,0.767516377318738
XGBoost,6,2,4.691541575714946,7.8447527544993045,2.137284964323044,0.6002618781447421,0.7830343796227377,0.7615009132142843
XGBoost,6,3,4.154481161160757,6.759891153154586,2.5155863761901855,0.7237998435462938,0.8612010473989438,0.8328184810202277
XGBoost,6,4,4.220361298450188,6.567457997397916,1.9454870223999023,0.7395232532846615,0.8623679916010711,0.7982967771146623
XGBoost,7,0,4.607830962082371,7.483876881343273,2.3662785291671753,0.6652283486575026,0.8165764547587757,0.776259714626152
XGBoost,7,1,4.4533354356388255,7.277089875014768,2.316239356994629,0.6565440564780405,0.8164925224421866,0.8328492981486374
XGBoost,7,2,4.979338566189011,7.5533354185681345,3.1896989345550537,0.6294092386672117,0.8055044703276322,0.6741243902898966
