gene,frequency
TM4SF,1.0
Atox1,1.0
GluClalpha,1.0
CG8861,1.0
ringer,1.0
CG9377,1.0
Obp44a,1.0
RpL23A,1.0
scyl,1.0
Gapdh2,1.0
Kif3C,1.0
CG31808,1.0
Gapdh1,1.0
Ten-a,1.0
Frq1,1.0
yps,1.0
chrb,1.0
RpS10b,1.0
Tsp42Ej,1.0
HmgD,1.0
Tsp42Ed,1.0
Pvf3,1.0
Hsp26,1.0
PyK,1.0
tutl,1.0
CG7781,1.0
ATPsynD,1.0
Rdl,1.0
Pglym78,1.0
CG8620,1.0
Ald,1.0
Hsp83,1.0
Hsromega,1.0
CG8646,1.0
Rh2,1.0
ATPsynO,1.0
Tpi,1.0
eIF4EHP,1.0
UQCR-14,1.0
CR40469,1.0
mt:CoIII,1.0
Msp300,1.0
CR42491,1.0
SP1029,1.0
CG34351,1.0
mt:lrRNA,1.0
eEF1alpha1,1.0
CG34423,1.0
CG3662,1.0
Vha14-1,1.0
Vha26,1.0
Vha36-1,1.0
Vha68-1,1.0
Dscam4,1.0
CG3793,1.0
MRE16,1.0
DnaJ-1,1.0
FoxP,1.0
fok,1.0
Dop2R,1.0
cindr,1.0
CNBP,1.0
Xrp1,1.0
Eno,1.0
CG42365,1.0
mt:ND4,1.0
snRNA:7SK,1.0
sta,1.0
CG12868,1.0
dpy,1.0
nUMI,1.0
Rbfox1,0.98
roX2,0.98
alpha-Man-Ia,0.98
hdc,0.96
Mkp3,0.96
Hsp70Bc,0.94
CG15784,0.92
Myc,0.92
COX7AL,0.9
eRF3,0.88
CG17167,0.86
RpL41,0.82
DopEcR,0.8
CG13685,0.76
Hasp,0.72
mt:ND5,0.72
SIFaR,0.7
CG5910,0.68
Culd,0.68
l(2)not,0.66
CG6770,0.66
Sep5,0.66
CG7328,0.58
Mtk,0.56
CG30259,0.56
CanA-14F,0.54
CG18343,0.5
CG15765,0.5
CG14645,0.46
Arc1,0.4
CG9150,0.38
mt:tRNA:Trp-TCA,0.36
kcc,0.34
CR45139,0.34
CG11360,0.34
CG42867,0.28
CG41378,0.28
Dfd,0.26
CG17219,0.26
slo,0.24
slp2,0.24
sif,0.18
tth,0.18
Act79B,0.16
CG43078,0.16
CG32700,0.16
CG13405,0.16
CG8369,0.14
slp1,0.12
Hml,0.12
OSCP1,0.1
sm,0.1
Nlg2,0.08
CG11617,0.08
trv,0.08
KFase,0.06
vir-1,0.06
sNPF-R,0.06
MtnE,0.06
let-7-C,0.06
CG3857,0.04
Dro,0.04
TwdlW,0.04
CR46094,0.04
CG5955,0.04
Reck,0.04
tna,0.04
fd59A,0.04
otk,0.04
CG9705,0.04
CG44422,0.04
CG30419,0.04
ebd2,0.04
GABA-B-R1,0.02
Spindly,0.02
Ect3,0.02
futsch,0.02
GstE7,0.02
CG14273,0.02
CG42331,0.02
CG43693,0.02
CG18208,0.02
CG12672,0.02
CG32110,0.02
GstD9,0.02
CG43373,0.02
nAChRalpha3,0.02
CG15628,0.02
Snm1,0.02
rdhB,0.02
CG32264,0.02
CG2016,0.02
pb,0.02
RNaseMRP:RNA,0.02
CG2837,0.02
CG32533,0.02
p38a,0.02
CG15256,0.02
CG30197,0.02
glob1,0.02
CG14907,0.02
TyrRII,0.02
AstC,0.02
Act5C,0.02
Drs,0.02
CR45891,0.02
CR45388,0.02
CR44908,0.02
Dscam2,0.02
Dgk,0.02
ap,0.02
Vm26Ab,0.02
Asph,0.02
ImpL3,0.0
insv,0.0
InR,0.0
inaD,0.0
Ipk1,0.0
Ir62a,0.0
inaC,0.0
Ir76a,0.0
ImpE2,0.0
ImpE1,0.0
Cyp309a2,0.0
Imp,0.0
Iml1,0.0
Cyp49a1,0.0
IM4,0.0
IM33,0.0
IM14,0.0
IM1,0.0
Cyp28d1,0.0
ken,0.0
kek3,0.0
kek2,0.0
kek1,0.0
Kebab,0.0
KCNQ,0.0
Cyp1,0.0
kar,0.0
kappaB-Ras,0.0
jumu,0.0
jim,0.0
Irk3,0.0
Cyp28a5,0.0
Jheh2,0.0
Jheh1,0.0
jhamt,0.0
jeb,0.0
jdp,0.0
jb,0.0
Jabba,0.0
Cyp4ac2,0.0
Irk2,0.0
Irc,0.0
Ir76b,0.0
Jheh3,0.0
Cyp6g1,0.0
Cyp6g2,0.0
Hsp60D,0.0
Hsp27,0.0
Cyp6w1,0.0
Cyp9b1,0.0
Hsp23,0.0
Hsc70-4,0.0
Hs3st-A,0.0
Hr83,0.0
Hr38,0.0
Cyp4d14,0.0
Hn,0.0
Hmx,0.0
Cyp9b2,0.0
HmgZ,0.0
Cyp9c1,0.0
HLH3B,0.0
hig,0.0
hid,0.0
hh,0.0
Cyp9f2,0.0
Hf,0.0
Hnf4,0.0
Ilp5,0.0
IKKbeta,0.0
igl,0.0
Cyp4e2,0.0
Ids,0.0
