model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
XGBoost,0,0,2.602936809149462,4.987823286436852,1.2359189987182617,0.7786775894846847,0.886839632288341,0.8899175988411333
XGBoost,0,1,2.5275630354914207,4.51508156163782,1.244553565979004,0.81863708446521,0.9063959568902646,0.8853074553007999
XGBoost,0,2,2.571877902606319,4.78333653669735,1.266795039176941,0.7971739995051195,0.8960572842668992,0.8890839459889452
XGBoost,0,3,2.505904387510751,4.4077148267622315,1.270224928855896,0.8293527157359533,0.9125427910335792,0.8854329345641891
XGBoost,0,4,2.462204115204652,4.284648279946285,1.2102813720703125,0.8387488730379509,0.9161653589555309,0.8898645050288817
XGBoost,1,0,2.654890172512915,4.871869392529946,1.311126708984375,0.7888483163301231,0.8901414692745067,0.8871308884229112
XGBoost,1,1,2.33995944103526,4.352161141014347,1.241218090057373,0.8314894008239014,0.9126700952866096,0.9021729433963778
XGBoost,1,2,2.6481817205917917,4.731745629066573,1.2912538051605225,0.8015255844330276,0.8962901205173586,0.8767305293114935
XGBoost,1,3,2.5078006953491925,4.573130369597569,1.1208782196044922,0.8163040553155824,0.9063039483059807,0.891010219619085
XGBoost,1,4,2.3367162538642607,4.205894208566011,1.1176562309265137,0.8446221551080838,0.9194373138030376,0.8872737060985294
XGBoost,2,0,2.4373818944941386,4.641530059842686,1.0934029817581177,0.8083425923743335,0.8995891398494028,0.8964211449445938
XGBoost,2,1,2.665805074988403,4.634086544469785,1.3552172183990479,0.8089506478199496,0.8994867250016922,0.8716320810369832
XGBoost,2,2,2.542361587573513,4.5759969189988325,1.2251975536346436,0.8143763965233662,0.9041617507873436,0.8853274936995545
XGBoost,2,3,2.413626749031919,4.301505333068118,1.2677736282348633,0.8374775593771333,0.9177997922395557,0.899807303643783
XGBoost,2,4,2.476228979598725,4.560471730833515,1.1572918891906738,0.8173196057559714,0.9079359969843174,0.8873600383344078
XGBoost,3,0,2.536211889473471,4.841661952476692,1.1990010738372803,0.7914586398887873,0.8920733312599824,0.9013911251926083
XGBoost,3,1,2.625415884683352,4.724286498123718,1.2499499320983887,0.8014409241598389,0.8965615676262042,0.8704825558109325
XGBoost,3,2,2.4723522510723037,4.632321069335843,1.1897296905517578,0.8097787380260968,0.9012742507637574,0.8969750179034582
XGBoost,3,3,2.4578426878380633,4.32890284827848,1.1314011812210083,0.8354006625761901,0.9146235203119639,0.8799531718096923
XGBoost,3,4,2.564266595241957,4.634543993480185,1.203465461730957,0.8113371362790732,0.9021042387979593,0.8887409574236338
XGBoost,4,0,2.463369827984484,4.4230840843500925,1.2296199798583984,0.8259581601131024,0.9105931301231243,0.894198944396565
XGBoost,4,1,2.5728204753798583,4.826650975974018,1.1734542846679688,0.7927430610896429,0.8915105450883933,0.8758637365448186
XGBoost,4,2,2.4440136349833885,4.619062725067134,1.1446988582611084,0.8108660589423424,0.9025517878213158,0.9090202816092486
XGBoost,4,3,2.4732553001638804,4.623190483794072,1.161620855331421,0.8122603606484131,0.9051593403743013,0.8815386529752285
XGBoost,4,4,2.4666505477406777,4.6207297658871544,1.1667194366455078,0.8124601583205459,0.9047030772546067,0.9038758749281568
XGBoost,5,0,2.3072904196485253,4.3504671102068775,1.1006989479064941,0.8316259904021885,0.9134236589387665,0.9095387655672785
XGBoost,5,1,2.6256960928838815,4.824838278616516,1.2105965614318848,0.7928987067161881,0.893050587776079,0.8921118755060167
XGBoost,5,2,2.442186074820841,4.576032168666798,1.166534185409546,0.8143735367331582,0.9047225040867053,0.8911916860738284
XGBoost,5,3,2.677627368694799,4.848084034640534,1.3015410900115967,0.7935510480934559,0.8928964921223416,0.8728224097658569
XGBoost,5,4,2.599748840470409,4.526506948553055,1.3297314643859863,0.8200305510160959,0.9056728978589828,0.8823639291146409
XGBoost,6,0,2.5986548742697884,4.604278358723161,1.4043598175048828,0.8114066312752853,0.9018223033577628,0.8726336760075037
XGBoost,6,1,2.6833264349095773,4.909159994908465,1.2147040367126465,0.7855966030975375,0.886459748922601,0.8819381346635367
XGBoost,6,2,2.4117996636701298,4.454421216913044,1.1249138116836548,0.8241087169396383,0.909558075723466,0.8968217398936654
XGBoost,6,3,2.3760705619076674,4.2393855260215485,1.226369023323059,0.8421377713840686,0.9214055967123136,0.8968100152585419
XGBoost,6,4,2.6103674393060903,4.682571200603011,1.2319223880767822,0.8074066960025941,0.9007103435574754,0.8808759169634824
XGBoost,7,0,2.465063362014725,4.634025479550461,1.1786651611328125,0.8089618475049248,0.9024601931162858,0.8996513973295096
XGBoost,7,1,2.410924832720693,4.302193262476108,1.2061898708343506,0.8353365840991467,0.9161458631106709,0.9038088963988756
XGBoost,7,2,2.4807199438501994,4.607209249318422,1.1825158596038818,0.8118355274830136,0.9052838200034845,0.9010103717618617
XGBoost,7,3,2.5675508295087464,4.662079866691634,1.2369139194488525,0.8090886175088958,0.9024910477518264,0.8794036952367033
XGBoost,7,4,2.511659857538439,4.635445523641854,1.2139911651611328,0.8112637302200929,0.9017445978685095,0.8833427134010708
XGBoost,8,0,2.5208769941033804,4.475841569504641,1.2774324417114258,0.8217815403553985,0.9070678641934482,0.8717756382286015
XGBoost,8,1,2.401446250405233,4.564906525202541,1.0586578845977783,0.8146122357822554,0.9045192366735365,0.9106277903964387
XGBoost,8,2,2.630794399314416,4.660740798174153,1.2909679412841797,0.8074375272692637,0.9027387297187204,0.880856305827714
XGBoost,8,3,2.3167414168621656,4.148945042352723,1.175642967224121,0.848801400503,0.9219837934222224,0.896664642110811
XGBoost,8,4,2.7132732344466466,4.894455822191365,1.338747501373291,0.7895828035030833,0.8895649021999901,0.8718599990897086
XGBoost,9,0,2.386095858784795,4.333283700211043,1.1273696422576904,0.8329534459277966,0.913122806853042,0.8986305230950475
XGBoost,9,1,2.485399774787106,4.5769103356583525,1.130338191986084,0.8136359680508303,0.9046161434204383,0.8983904609701876
XGBoost,9,2,2.766490479550805,4.848047522566101,1.3933238983154297,0.7916490480058729,0.8898107082314334,0.8518653730395058
XGBoost,9,3,2.5791154918985155,4.815708654281733,1.1978693008422852,0.796299163002932,0.8935935595710874,0.9017262783353841
XGBoost,9,4,2.5271406974504464,4.605693387480629,1.2489252090454102,0.8136787242175949,0.9037132470831534,0.8828490332132902
