gene,frequency
Act5C,1.0
RpL3,1.0
CG3793,1.0
CG41378,1.0
CG31808,1.0
CG34423,1.0
Cyt-c-p,1.0
CG8646,1.0
CG7582,1.0
sta,1.0
TM4SF,1.0
HmgD,1.0
Gapdh1,1.0
GstS1,1.0
Hsromega,1.0
dpy,1.0
Eno,1.0
Kif3C,1.0
mt:ND3,1.0
mt:ND5,1.0
mt:ND4,1.0
mt:ND2,1.0
mt:lrRNA,1.0
mt:ND6,1.0
mt:CoIII,1.0
MRE16,1.0
snoRNA:Or-CD2,0.98
CR42491,0.98
VAChT,0.98
Pde1c,0.98
jdp,0.96
Ald,0.96
CR45139,0.96
Hsp26,0.94
CG11768,0.92
GstO3,0.92
CG15784,0.92
snRNA:7SK,0.92
Dat,0.9
Obp44a,0.9
Hsp83,0.88
DnaJ-1,0.88
sm,0.84
COX6B,0.84
CG5773,0.8
CG3091,0.8
scpr-C,0.8
eEF1alpha1,0.8
Pka-C1,0.78
AttB,0.76
CG12129,0.76
GstE7,0.76
MME1,0.74
dpr21,0.74
Or71a,0.74
CG8369,0.72
lab,0.7
CG11168,0.7
CG6678,0.7
CR15345,0.7
Vha13,0.68
dmt,0.68
HLH4C,0.68
aurA,0.68
Ca-alpha1T,0.68
sced,0.66
CG5050,0.66
eve,0.64
GstD11,0.64
ChAT,0.62
Rab27,0.62
nkd,0.6
Imp,0.6
wdp,0.6
CG8539,0.58
CG6337,0.58
CG7231,0.58
CG3077,0.56
ncm,0.56
Or63a,0.54
CG6220,0.52
Hmx,0.52
ftz-f1,0.5
Kr-h1,0.5
kuk,0.5
ClC-b,0.5
Smurf,0.5
CR45198,0.5
Hsp70Ab,0.48
Six4,0.48
CG4089,0.48
Rbp1-like,0.46
Cyp1,0.46
CG11000,0.46
CG5071,0.44
CG1722,0.44
Con,0.44
pdm3,0.44
Ugt35b,0.42
CG8097,0.42
vvl,0.42
Vha26,0.42
bma,0.4
CG14985,0.4
RpS14b,0.4
dpr10,0.38
CG6891,0.36
PsGEF,0.36
disco-r,0.36
IntS8,0.36
msi,0.36
CG31997,0.36
ATPsynG,0.36
Mocs1,0.34
NetB,0.34
CG44153,0.34
Gbp1,0.32
CG32537,0.32
Hsc70-2,0.3
mt:ND1,0.3
CG16868,0.3
sif,0.3
CG5549,0.3
mamo,0.28
CG10527,0.28
lbm,0.28
CG11099,0.28
CR41320,0.28
CG8878,0.26
Wsck,0.26
CG2202,0.24
Sod3,0.24
Tsp66E,0.24
CR43334,0.24
svp,0.22
CG30089,0.22
CG7544,0.22
Ir76b,0.2
CG18371,0.2
CG5890,0.2
Vkor,0.2
crok,0.2
qjt,0.18
CG42364,0.18
dac,0.18
CG6836,0.18
CG43750,0.18
CG18467,0.18
Kr,0.18
gukh,0.18
mAChR-B,0.18
Syt14,0.18
Tab2,0.16
hkb,0.16
zfh2,0.16
roX2,0.16
CG6023,0.14
Gat,0.14
CG2082,0.14
GluClalpha,0.14
Proc-R,0.14
CG6695,0.14
CG42313,0.14
spn-A,0.14
CG30116,0.14
Efhc1.2,0.14
Octbeta1R,0.14
Trim9,0.12
CG15877,0.12
Gapdh2,0.12
CG13366,0.12
CR46044,0.12
scny,0.12
mRpL45,0.12
CG5613,0.12
beat-Ib,0.1
COX5B,0.1
Nep2,0.1
Meltrin,0.1
Lrrk,0.1
CG17778,0.1
CG7191,0.1
SerT,0.1
mGluR,0.08
Jheh1,0.08
heph,0.08
luna,0.08
CG31191,0.08
CG12942,0.08
GNBP3,0.08
CG3277,0.08
chrb,0.08
scaf6,0.08
CG4622,0.08
dgt2,0.08
Magi,0.08
CG34231,0.08
CG10361,0.06
Hen1,0.06
CG10616,0.06
msd1,0.06
tey,0.06
Tre1,0.06
Adf1,0.06
Tsp42Ed,0.06
RapGAP1,0.06
Wnt10,0.06
COX7C,0.06
ninaA,0.06
CG42391,0.06
vir-1,0.06
RpS21,0.06
CG8034,0.06
CG2812,0.04
CG32032,0.04
CG44422,0.04
CG30053,0.04
sr,0.04
spartin,0.04
twit,0.04
ATPsynO,0.04
asl,0.04
Scgdelta,0.04
CG41520,0.04
CG5013,0.04
RpS29,0.04
CG12194,0.04
CG13578,0.04
Ets65A,0.04
Pka-R2,0.04
exex,0.04
olf413,0.04
nAChRalpha1,0.04
Dl,0.04
CR44396,0.04
mub,0.04
CG10513,0.04
CG12877,0.04
His2B:CG33868,0.04
CG30015,0.04
CR44408,0.04
CG14024,0.04
mirr,0.02
mbc,0.02
GABA-B-R3,0.02
CG17839,0.02
CG17167,0.02
vg,0.02
CG18067,0.02
CG1537,0.02
Zasp52,0.02
klg,0.02
kn,0.02
CG14535,0.02
CG14864,0.02
CG14645,0.02
CG1657,0.02
CG2116,0.02
CG2126,0.02
Su(z)2,0.02
spg,0.02
Uhg3,0.02
Tsp42Eg,0.02
Tsp5D,0.02
Atg10,0.02
wisp,0.02
Trl,0.02
CG1545,0.02
Msp300,0.02
CG11221,0.02
CG10973,0.02
CG12674,0.02
CG13367,0.02
CR40469,0.02
COX4,0.02
CR45919,0.02
CR44024,0.02
CycD,0.02
Dbx,0.02
Cyp28d1,0.02
Cul5,0.02
CR45873,0.02
Ets21C,0.02
Epac,0.02
GluRIB,0.02
caup,0.02
Cat,0.02
Rcd1,0.02
Dop1R2,0.02
Dscam4,0.02
Dsk,0.02
beat-Ic,0.02
bsh,0.02
pHCl-1,0.02
Psc,0.02
bdl,0.02
beat-Vc,0.02
ph-p,0.02
Optix,0.02
osp,0.02
ND-B17.2,0.02
CG9541,0.02
CR30055,0.02
CG1402,0.02
rho-4,0.02
rhea,0.02
RNASEK,0.02
RpL35,0.02
Rx,0.02
Scr,0.02
CG6723,0.02
CG7630,0.02
CG8611,0.02
sll,0.02
CG6201,0.02
skl,0.02
Scp2,0.02
pyd,0.02
robo1,0.02
Rif1,0.02
CG42541,0.02
CG14989,0.02
CG5245,0.02
CG4577,0.02
CG13759,0.02
CG34030,0.02
CG33521,0.02
CG34351,0.02
CG31675,0.02
woc,0.02
UQCR-11L,0.02
CG3168,0.02
Ace,0.02
wts,0.0
2mit,0.0
5-HT1A,0.0
5-HT2A,0.0
aurB,0.0
Awh,0.0
axo,0.0
Atac3,0.0
Atf-2,0.0
Tsp42Ea,0.0
Tsp42El,0.0
Trh,0.0
bab1,0.0
bab2,0.0
bap,0.0
Bap111,0.0
Bap60,0.0
bbg,0.0
bbx,0.0
ATPsynD,0.0
Act79B,0.0
Adat1,0.0
Adgf-D,0.0
Adk3,0.0
AdoR,0.0
Afti,0.0
Act57B,0.0
az2,0.0
trv,0.0
Tsf1,0.0
tsh,0.0
alphagamma-element:CR32865,0.0
alphaTub84B,0.0
alrm,0.0
amn,0.0
amon,0.0
CG15356,0.0
CG15365,0.0
CG15385,0.0
CG15436,0.0
CG15449,0.0
CG17985,0.0
CG18208,0.0
CG18367,0.0
wupA,0.0
Xpac,0.0
CG15643,0.0
CG15650,0.0
CG15673,0.0
CG1572,0.0
CG15728,0.0
CG15353,0.0
zyd,0.0
Yp1,0.0
Yp3,0.0
yrt,0.0
z,0.0
ZC3H3,0.0
Zfrp8,0.0
wuho,0.0
UQCR-Q,0.0
Vang,0.0
Zip48C,0.0
Zip71B,0.0
Zir,0.0
zld,0.0
ZnT33D,0.0
zormin,0.0
CG2972,0.0
CG2974,0.0
CG30001,0.0
CG30054,0.0
CG2681,0.0
CG2698,0.0
CG2712,0.0
CG2837,0.0
CG17002,0.0
CG17078,0.0
CG17108,0.0
CG17118,0.0
CG17186,0.0
CG17193,0.0
CG2911,0.0
CG2941,0.0
CG17209,0.0
CG17233,0.0
CG17278,0.0
CG1738,0.0
CG17574,0.0
CG17612,0.0
CG17637,0.0
CG1688,0.0
CG18476,0.0
CG18563,0.0
CG17646,0.0
CG17650,0.0
CG17716,0.0
CG17739,0.0
CG17806,0.0
CG17807,0.0
CG31007,0.0
CG31029,0.0
CG31100,0.0
CG31122,0.0
CG30203,0.0
CG30271,0.0
CG30285,0.0
CG14834,0.0
CG31211,0.0
CG31221,0.0
CG31235,0.0
CG31248,0.0
CG31324,0.0
CG31345,0.0
CG30463,0.0
CG30496,0.0
CG2614,0.0
CG2662,0.0
CG18599,0.0
CG18622,0.0
CG18628,0.0
CG2016,0.0
CG2100,0.0
CG31176,0.0
CG2875,0.0
CG2889,0.0
CG2906,0.0
CG2129,0.0
CG2147,0.0
CG2247,0.0
CG2269,0.0
CG2310,0.0
CG30324,0.0
CG30356,0.0
CG3036,0.0
CG30419,0.0
CG30457,0.0
CG3009,0.0
CG30099,0.0
CG30156,0.0
CG1582,0.0
CG15864,0.0
CG1603,0.0
CG1622,0.0
CG1648,0.0
CG1552,0.0
CG15522,0.0
CG15537,0.0
CG14669,0.0
CG16739,0.0
CG16743,0.0
CG16749,0.0
CG16826,0.0
CG16852,0.0
CG16863,0.0
CG15765,0.0
CG14937,0.0
CG14945,0.0
CG14967,0.0
CG14459,0.0
CG14516,0.0
CG14621,0.0
CG14630,0.0
CG14646,0.0
CG31457,0.0
CG31523,0.0
CG31550,0.0
CG31612,0.0
CG31627,0.0
CG31674,0.0
CG33172,0.0
CG33260,0.0
CG32075,0.0
CG31676,0.0
CG31690,0.0
CG31705,0.0
CG31706,0.0
CG31751,0.0
CG31814,0.0
CG31381,0.0
CG32164,0.0
CG32195,0.0
CG32204,0.0
CG31897,0.0
CG31999,0.0
CG32017,0.0
CG32036,0.0
CG32052,0.0
CG30157,0.0
CG30158,0.0
CG30197,0.0
CG32095,0.0
CG32099,0.0
CG32113,0.0
CG32137,0.0
CG3216,0.0
CG32452,0.0
CG32457,0.0
CG32521,0.0
CG34376,0.0
CG34377,0.0
CG34386,0.0
CG34393,0.0
CG34402,0.0
CG32686,0.0
CG32698,0.0
CG32700,0.0
CG32225,0.0
CG32264,0.0
CG32280,0.0
CG32354,0.0
CG32373,0.0
CG33090,0.0
CG33108,0.0
CG33111,0.0
CG33143,0.0
CG32532,0.0
CG32547,0.0
CG32625,0.0
CG32683,0.0
CG33543,0.0
CG3356,0.0
CG33639,0.0
CG33666,0.0
CG33695,0.0
CG32816,0.0
CG3294,0.0
CG32982,0.0
CG42324,0.0
CG42339,0.0
CG42340,0.0
CG42342,0.0
CG42346,0.0
CG40485,0.0
CG40486,0.0
CG4080,0.0
CG33700,0.0
CG33941,0.0
CG33978,0.0
CG34028,0.0
CG34113,0.0
CG34114,0.0
CG34136,0.0
CG42237,0.0
CG34375,0.0
CG34155,0.0
CG34219,0.0
CG34299,0.0
CG34325,0.0
CG34330,0.0
CG34342,0.0
CG34347,0.0
CG34408,0.0
CG3520,0.0
CG34348,0.0
CG34353,0.0
CG34354,0.0
CG34355,0.0
CG3437,0.0
CG34371,0.0
CG43689,0.0
CG42747,0.0
CG42750,0.0
CG42788,0.0
CG4281,0.0
CG42855,0.0
CG4294,0.0
CG4302,0.0
CG3764,0.0
CG43219,0.0
CG4328,0.0
CG43322,0.0
CG43340,0.0
CG43373,0.0
CG4341,0.0
CG43658,0.0
CG3961,0.0
CG3548,0.0
CG3634,0.0
CG3640,0.0
CG3662,0.0
CG3700,0.0
CG3706,0.0
CG3726,0.0
CG4168,0.0
CG42231,0.0
CG3770,0.0
CG3815,0.0
CG3823,0.0
CG3857,0.0
CG3906,0.0
CG3940,0.0
CG45071,0.0
CG45218,0.0
CG45263,0.0
CG45781,0.0
CG43861,0.0
CG43897,0.0
CG43902,0.0
CG4409,0.0
CG4593,0.0
CG4596,0.0
CG46025,0.0
CG4603,0.0
CG4629,0.0
CG46301,0.0
CG44325,0.0
CG4455,0.0
CG42697,0.0
CG42394,0.0
CG42402,0.0
CG42458,0.0
CG4250,0.0
CG42524,0.0
CG42526,0.0
CG4586,0.0
CG43107,0.0
CG42561,0.0
CG42594,0.0
CG42663,0.0
CG42671,0.0
CG42673,0.0
CG42674,0.0
CG42675,0.0
CG5003,0.0
CG14075,0.0
CG14082,0.0
CG14086,0.0
CG14089,0.0
CG14102,0.0
CG13739,0.0
CG13773,0.0
CG5079,0.0
CG5096,0.0
CG5147,0.0
CG5151,0.0
CG5180,0.0
CG5191,0.0
CG5199,0.0
CG4951,0.0
CG43795,0.0
CG43850,0.0
CG5292,0.0
CG5321,0.0
CG5439,0.0
CG5599,0.0
CG5674,0.0
CG5726,0.0
CG44098,0.0
CG44195,0.0
CG4424,0.0
CG43693,0.0
CG43729,0.0
CG43737,0.0
CG43740,0.0
CG43759,0.0
CG5044,0.0
CG4631,0.0
CG4707,0.0
CG4716,0.0
CG4766,0.0
CG4813,0.0
CG4820,0.0
CG4829,0.0
CG15047,0.0
CG15082,0.0
