model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
XGBoost,0,0,4.715983274223918,7.171618199105472,3.141986131668091,0.6709029298900844,0.8205967075276512,0.7724128479892226
XGBoost,0,1,4.3439700197387525,6.47166869994617,2.4935972690582275,0.7320077420704908,0.8642795823554775,0.8119867900050257
XGBoost,0,2,4.467884393645584,7.322102292083772,2.5897634029388428,0.658817442229049,0.8240500073466296,0.8153174393137401
XGBoost,0,3,4.242350992659179,6.865830764766249,2.3671627044677734,0.7007066940608173,0.8394159451341097,0.840248225119898
XGBoost,0,4,4.340682882856763,7.461763227506193,2.65687894821167,0.6454829377762268,0.808551287829911,0.8016563325853081
XGBoost,1,0,4.392266848912606,6.908045395765529,2.7416988611221313,0.6946484982277041,0.8368292457997146,0.8159549360838009
XGBoost,1,1,4.421731077830542,6.909639740517373,2.88353168964386,0.6945075345495242,0.8359092240365064,0.7962086614335065
XGBoost,1,2,4.644785343448102,7.374083362362129,2.846067428588867,0.653956000505397,0.8131137909578317,0.8006581163864429
XGBoost,1,3,4.6601973708863085,7.518207001499674,2.699845314025879,0.6411281669341431,0.8020811287718789,0.8003606579351796
XGBoost,1,4,4.307119182542543,6.725160161370127,2.6164450645446777,0.7120218902243073,0.8636187767795791,0.7922141811149176
XGBoost,2,0,4.932740259629029,7.373107247337826,2.8427687883377075,0.652150969900673,0.809053831077853,0.7347541469017929
XGBoost,2,1,4.300458617088805,7.100946286396235,2.4449689388275146,0.6773570724506763,0.8319145965815129,0.8065244344506519
XGBoost,2,2,4.471396791259886,6.812409631336127,2.9319546222686768,0.7046637571896186,0.8440942095728166,0.8364681789167671
XGBoost,2,3,4.2961065832175604,6.709950385884004,2.6573257446289062,0.7141426043603911,0.8552283647465863,0.8585696159893094
XGBoost,2,4,4.198872872808361,6.810869262997973,2.344491958618164,0.7046348162806344,0.8457888162810678,0.8375973923259495
XGBoost,3,0,4.556880060296792,7.007963977390418,2.6422585248947144,0.6857513532447211,0.8345595554606313,0.807814659714047
XGBoost,3,1,4.626234923990873,7.43790706025293,2.555659770965576,0.6460098405069414,0.8091750610357866,0.7537618580251438
XGBoost,3,2,4.145126921737062,7.1548708233163,1.89971923828125,0.6742241912917906,0.8305460402033209,0.8231298194395357
XGBoost,3,3,4.540018951612941,7.045861640524,2.752758026123047,0.6848052057072286,0.830778786667848,0.7919432186125298
XGBoost,3,4,4.464582135031278,7.131871713584527,2.9007225036621094,0.6761370565410247,0.8234315649539787,0.8052531967340958
XGBoost,4,0,4.323749352614958,6.917123851880747,2.9249932765960693,0.693845393560513,0.8340684118541634,0.8080216584712584
XGBoost,4,1,4.3518271664218915,6.615225694509841,2.660064697265625,0.7199864638097353,0.8547040473558039,0.8100805927116763
XGBoost,4,2,4.489824210350191,7.471991539776217,2.235949754714966,0.6447059128004569,0.8174644049930677,0.8067030821513616
XGBoost,4,3,4.684934642580107,7.3444611362296905,2.72458553314209,0.6575235690877033,0.823708544136472,0.7625848576007972
XGBoost,4,4,4.255498533625959,6.495284849625135,2.712705612182617,0.7313724092738297,0.8601616821187361,0.8470027681333588
XGBoost,5,0,4.824087719095277,7.65037462631772,2.8305139541625977,0.6254971739303371,0.7924783630922494,0.7957695427106845
XGBoost,5,1,4.471297932236077,6.793232213615192,2.6514792442321777,0.7047141642038286,0.8459699505727831,0.7893133921520288
XGBoost,5,2,4.3767922335402085,6.859427133822086,2.481731414794922,0.7005730192588486,0.8621428368672889,0.8197615158858874
XGBoost,5,3,4.233790341342764,6.954200276353453,2.849928855895996,0.6929527567063799,0.8378114106099563,0.7938087659123426
XGBoost,5,4,4.340442784583371,7.313479270258139,2.4658477306365967,0.6594332201507442,0.8209619359426605,0.8186885722765145
XGBoost,6,0,4.518249585293233,7.856161154432674,2.0347416400909424,0.605078787430793,0.789140461127168,0.802987368308011
XGBoost,6,1,4.925162894303327,7.884050124855041,2.9423725605010986,0.6022699103540041,0.782656756702987,0.7643167849462517
XGBoost,6,2,4.205747430578121,6.297599300684918,2.8428850173950195,0.7476139856131554,0.8678113743333549,0.8253957876779319
XGBoost,6,3,4.506961567378834,6.844621074077272,2.8530921936035156,0.702552971306679,0.849796161429048,0.8296832609209027
XGBoost,6,4,4.376123967544479,6.947862928715374,2.43355131149292,0.6926333829287062,0.8364602260666721,0.7978653746596758
XGBoost,7,0,4.72112455120781,7.894710571350888,2.543811798095703,0.6011935988578726,0.7898258412594941,0.7946873210528366
XGBoost,7,1,4.073284370640477,6.254658152371071,2.4998323917388916,0.7496792500230365,0.8783920173735918,0.8195442543399127
XGBoost,7,2,4.326273666746214,6.4386728013557235,2.8511838912963867,0.73617985867681,0.860736978059347,0.8114689711649403
XGBoost,7,3,4.072219439550658,7.262514951391279,2.0135767459869385,0.6651233289917331,0.819504925502291,0.8290437030842748
XGBoost,7,4,4.407915524932561,7.471245422785956,2.2411813735961914,0.6445813449960681,0.8079087476104863,0.8233202627197419
XGBoost,8,0,4.176493919863888,6.850642622468333,2.123396396636963,0.69970208343422,0.8545331440176742,0.8601210349950215
XGBoost,8,1,4.003445639060094,6.893242231333209,2.2015740871429443,0.6959557639230862,0.8365013760605243,0.8416499128830823
XGBoost,8,2,4.320458805363481,6.680133486540149,2.6946144104003906,0.7160214620900933,0.8556096006190489,0.7973112669955569
