model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,9.691544292672207,12.981978893067081,8.753799392097264,-3.566378445163387e-05,,
Dummy,0,1,9.72772549163218,12.990610601305788,8.790273556231003,-6.351438390650443e-05,,
Dummy,0,2,9.590022172949004,12.872491256711466,8.842424242424242,-0.0008126818228628707,,
Dummy,0,3,10.008869179600888,13.616428961877487,8.718181818181819,-0.00035755278231341947,,
Dummy,0,4,9.75868440502587,13.054430514646201,8.742424242424242,-0.0001079462500652717,,
Dummy,1,0,9.691544292672207,12.981978893067081,8.753799392097264,-3.566378445185592e-05,,
Dummy,1,1,9.72772549163218,12.990610601305788,8.790273556231003,-6.351438390650443e-05,,
Dummy,1,2,9.590022172949004,12.872491256711466,8.842424242424242,-0.0008126818228630928,,
Dummy,1,3,10.008869179600888,13.616428961877489,8.718181818181819,-0.0003575527823136415,,
Dummy,1,4,9.75868440502587,13.054430514646203,8.742424242424242,-0.00010794625006549374,,
Dummy,2,0,9.691544292672209,12.981978893067081,8.753799392097264,-3.566378445185592e-05,,
Dummy,2,1,9.72772549163218,12.99061060130579,8.790273556231003,-6.351438390650443e-05,,
Dummy,2,2,9.590022172949004,12.872491256711466,8.842424242424242,-0.0008126818228628707,,
Dummy,2,3,10.008869179600888,13.616428961877489,8.718181818181819,-0.0003575527823136415,,
Dummy,2,4,9.75868440502587,13.054430514646203,8.742424242424242,-0.00010794625006549374,,
Dummy,3,0,9.691544292672209,12.981978893067081,8.753799392097264,-3.566378445185592e-05,,
Dummy,3,1,9.72772549163218,12.99061060130579,8.790273556231003,-6.351438390672648e-05,,
Dummy,3,2,9.590022172949002,12.87249125671147,8.842424242424242,-0.0008126818228630928,,
Dummy,3,3,10.008869179600888,13.616428961877489,8.718181818181819,-0.0003575527823136415,,
Dummy,3,4,9.75868440502587,13.054430514646203,8.742424242424242,-0.00010794625006549374,,
Dummy,4,0,9.691544292672209,12.98197889306708,8.753799392097264,-3.566378445163387e-05,,
Dummy,4,1,9.72772549163218,12.990610601305788,8.790273556231003,-6.351438390650443e-05,,
Dummy,4,2,9.590022172949004,12.872491256711466,8.842424242424242,-0.0008126818228630928,,
Dummy,4,3,10.008869179600888,13.616428961877489,8.718181818181819,-0.0003575527823136415,,
Dummy,4,4,9.75868440502587,13.054430514646203,8.742424242424242,-0.00010794625006549374,,
LinearRegression,0,0,7.11454778231901,11.016429174318263,4.244205404311362,0.2798625703376334,0.5726286700288385,0.7452546972526127
LinearRegression,0,1,8.211225329941746,12.295356374505232,5.059928331386978,0.10411823787739427,0.5144685973346296,0.5445403375775694
LinearRegression,0,2,7.183382753769639,10.581449117867477,4.749383470623027,0.32373348402017865,0.6118755360957199,0.5772710032426522
LinearRegression,0,3,6.816226541306497,9.862649699931442,4.767743910480151,0.475173177536508,0.6906355333835397,0.741422415106962
