gene,frequency
Hsp26,1.0
TM4SF,1.0
CR43651,1.0
Est-Q,1.0
Treh,1.0
CG5618,1.0
trol,1.0
Cyt-c-p,1.0
CG31808,1.0
Tsf1,1.0
CG11159,1.0
Arc1,1.0
SLC22A,1.0
CR44137,1.0
Fas1,1.0
Adgf-D,1.0
mt:ND6,1.0
mt:ND5,1.0
mt:ND4,1.0
mt:lrRNA,1.0
cib,1.0
CG32521,1.0
CG7029,1.0
Tsp42Ed,1.0
Spn43Ab,1.0
Col4a1,1.0
Hsromega,1.0
Pdf,1.0
Ect3,1.0
NLaz,1.0
Ssk,1.0
CG30197,1.0
CG30259,1.0
ImpL2,1.0
CG10433,1.0
snRNA:7SK,1.0
GstD9,1.0
CR31044,1.0
Cyp28d1,1.0
CR40469,1.0
GstD1,1.0
CR42491,1.0
Sod3,1.0
Irk2,1.0
NaPi-T,1.0
jdp,1.0
CR43459,1.0
CG5273,1.0
CR17025,1.0
CG9377,1.0
Xrp1,1.0
Fim,1.0
vir-1,1.0
DNaseII,1.0
nUMI,1.0
CG1468,1.0
AnxB9,1.0
VhaM9.7-b,1.0
CG34423,1.0
Act79B,1.0
MRE16,1.0
CR45054,1.0
Dop1R1,1.0
CG12484,1.0
snoRNA:Psi28S-2179,1.0
Obp18a,1.0
Mmp1,1.0
rho,1.0
CG14989,1.0
CG14907,0.96
CG33958,0.96
Amph,0.96
CR44107,0.96
Cys,0.96
fru,0.96
kay,0.92
pre-rRNA:CR45845,0.92
CG31705,0.88
Obp58b,0.88
emc,0.88
Hsp70Bc,0.88
CG10126,0.84
CR44206,0.84
CG14688,0.8
Inx3,0.76
CG10361,0.76
CG15209,0.76
ImpL3,0.72
eIF4E6,0.72
RapGAP1,0.72
CG12177,0.68
CG31324,0.68
Men-b,0.68
CG6723,0.64
snoRNA:Psi18S-531,0.64
CG42867,0.64
let-7-C,0.64
Nrt,0.56
ninaB,0.56
Ace,0.56
CG7378,0.48
Arc2,0.44
GstE1,0.44
CG17224,0.4
bdl,0.4
Adgf-C,0.36
CG5955,0.32
Kif3C,0.28
CG18343,0.28
CG15784,0.24
Hsp23,0.2
mt:ND1,0.2
GluClalpha,0.12
Gbp1,0.12
Myc,0.12
CG30380,0.12
CR44998,0.08
GstD2,0.08
CycB3,0.08
CG8861,0.08
nkd,0.08
CR32385,0.08
CG14945,0.08
GILT3,0.08
ringer,0.08
Obp44a,0.08
Hsp27,0.08
CG13229,0.04
nmdyn-D6,0.04
5-HT2A,0.04
CG10514,0.04
CG14401,0.04
CG9512,0.04
Msp300,0.04
CG14301,0.04
rgn,0.04
Gfat2,0.04
beat-IIb,0.04
CG18208,0.04
Tsp42Ee,0.04
CG13937,0.04
CG11961,0.04
CR46006,0.04
CG7470,0.04
CG9686,0.04
CR45479,0.04
Nhe3,0.04
Nhe2,0.04
nrv3,0.04
CG2065,0.04
CG33970,0.04
CG13631,0.04
CG43693,0.04
Cbp53E,0.04
CG8630,0.04
CG1208,0.04
puc,0.04
Hasp,0.04
CG31370,0.04
haf,0.0
hbn,0.0
Gyc76C,0.0
HDAC6,0.0
hdc,0.0
hdly,0.0
HEATR2,0.0
hebe,0.0
Hen1,0.0
heph,0.0
her,0.0
Hexo2,0.0
h,0.0
GILT1,0.0
gig,0.0
Ggamma30A,0.0
Gfrl,0.0
Gfat1,0.0
geminin,0.0
Gem3,0.0
Gel,0.0
geko,0.0
Gba1b,0.0
Hex-A,0.0
Gat,0.0
Gasp,0.0
Gad1,0.0
Gabat,0.0
fzo,0.0
futsch,0.0
fusl,0.0
fu12,0.0
ft,0.0
fs(1)Yb,0.0
frm,0.0
gb,0.0
GstT4,0.0
GstS1,0.0
GstE9,0.0
GstE8,0.0
GstE7,0.0
GstE6,0.0
GstE3,0.0
GstE2,0.0
GstE11,0.0
GstD5,0.0
GstD3,0.0
GLaz,0.0
Grip71,0.0
Gr77a,0.0
Gr61a,0.0
Gp210,0.0
GNBP3,0.0
GNBP2,0.0
GluRIIC,0.0
GluRIIB,0.0
GluRIB,0.0
GluProRS,0.0
GlcAT-P,0.0
Gs2,0.0
lbm,0.0
lbl,0.0
LanB1,0.0
lama,0.0
Lac,0.0
lab,0.0
l(3)72Ab,0.0
l(2)not,0.0
l(2)k09848,0.0
l(2)gl,0.0
l(2)41Ab,0.0
l(2)09851,0.0
Frq1,0.0
l(1)G0045,0.0
ktub,0.0
kon,0.0
knk,0.0
kn,0.0
Kmn2,0.0
klu,0.0
Klp3A,0.0
klg,0.0
ken,0.0
kek1,0.0
Kebab,0.0
Karl,0.0
l(2)01289,0.0
MCPH1,0.0
mbm,0.0
mbl,0.0
mbc,0.0
Mal-A4,0.0
mah,0.0
mad2,0.0
mab-21,0.0
luna,0.0
LUBEL,0.0
ltl,0.0
Lst,0.0
Lcp3,0.0
Lsd-2,0.0
Lrrk,0.0
LpR2,0.0
LpR1,0.0
lok,0.0
Lmx1a,0.0
Lk,0.0
List,0.0
Lim1,0.0
Lig4,0.0
lectin-46Cb,0.0
lds,0.0
lcs,0.0
Lsm10,0.0
igl,0.0
Idgf6,0.0
Idgf4,0.0
Idgf3,0.0
Idgf2,0.0
Ice1,0.0
IA-2,0.0
Hydr1,0.0
hui,0.0
htl,0.0
hth,0.0
Hsp83,0.0
Jupiter,0.0
Hsp68,0.0
Hsp67Bc,0.0
Hs3st-A,0.0
Hr4,0.0
Hr38,0.0
HP1D3csd,0.0
HP1b,0.0
hoe1,0.0
Hml,0.0
Hk,0.0
hig,0.0
Hf,0.0
Hey,0.0
Hsp70Ab,0.0
jtb,0.0
jim,0.0
JhI-21,0.0
Jheh1,0.0
Jhe,0.0
jeb,0.0
jbug,0.0
Jafrac2,0.0
Jabba,0.0
Irk3,0.0
Irc,0.0
Ir76b,0.0
Ih,0.0
IP3K2,0.0
Inx2,0.0
Invadolysin,0.0
IntS12,0.0
InR,0.0
Inos,0.0
Indy,0.0
ImpE2,0.0
ImpE1,0.0
IM4,0.0
IM33,0.0
IM14,0.0
IM1,0.0
Ir76a,0.0
CR6434,0.0
CR46268,0.0
CR46262,0.0
CR46258,0.0
CR46253,0.0
CR46204,0.0
CR46194,0.0
CR46153,0.0
CR46148,0.0
CR46144,0.0
CR46112,0.0
CR46110,0.0
CR46095,0.0
eya,0.0
CR46075,0.0
CR46067,0.0
CR46060,0.0
CR46055,0.0
CR46007,0.0
CR45994,0.0
CR45938,0.0
CR45926,0.0
CR45922,0.0
CR45914,0.0
CR45907,0.0
CR45897,0.0
CR45889,0.0
CR45875,0.0
CR46093,0.0
Cyp9h1,0.0
Cyp6w1,0.0
Cyp6v1,0.0
Cyp6g2,0.0
Cyp6a23,0.0
Cyp6a22,0.0
Cyp6a20,0.0
Cyp6a2,0.0
Cyp6a19,0.0
Cyp6a17,0.0
Cyp6a15Psi,0.0
Cyp6a14,0.0
Cyp4g15,0.0
Cyp4d14,0.0
Cralbp,0.0
Cyp313a4,0.0
Cyp311a1,0.0
Cyp28a5,0.0
Cyp12a4,0.0
CycH,0.0
cv-c,0.0
cv-2,0.0
cutlet,0.0
Culd,0.0
Cubn,0.0
ctp,0.0
Ctf4,0.0
Csas,0.0
CrebA,0.0
Cyp4ac3,0.0
CR45378,0.0
CR45321,0.0
CR45312,0.0
CR45298,0.0
CR45281,0.0
CR45279,0.0
CR45267,0.0
CR45264,0.0
CR45251,0.0
CR45233,0.0
CR45223,0.0
CR45217,0.0
CR45214,0.0
CR45213,0.0
CR45819,0.0
CR45200,0.0
CR45196,0.0
CR45195,0.0
CR45190,0.0
CR45187,0.0
CR45177,0.0
CR45175,0.0
CR45162,0.0
CR45161,0.0
CR45160,0.0
CR45150,0.0
CR45141,0.0
CR45139,0.0
CR45132,0.0
CR45209,0.0
CR45808,0.0
CR45798,0.0
CR45737,0.0
CR45736,0.0
CR45732,0.0
CR45679,0.0
CR45621,0.0
CR45618,0.0
CR45615,0.0
CR45614,0.0
CR45611,0.0
CR45600,0.0
CR45596,0.0
CR45588,0.0
CR45388,0.0
CR45577,0.0
CR45566,0.0
CR45540,0.0
CR45517,0.0
CR45501,0.0
CR45482,0.0
CR45478,0.0
CR45474,0.0
CR45473,0.0
CR45463,0.0
CR45458,0.0
CR45444,0.0
CR45433,0.0
CR45404,0.0
CR45582,0.0
Ets96B,0.0
Ets65A,0.0
Ets21C,0.0
E(spl)mbeta-HLH,0.0
