model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,17.296325816159598,19.224360619972796,17.251672240802677,-8.590864457813652e-06,,
Dummy,0,1,17.314148568777107,19.241069930401164,17.24905975762641,-5.081658811523226e-06,,
Dummy,0,2,17.331625686401388,19.270438757169792,17.22816548265775,-1.0063774041890738e-05,,
Dummy,0,3,17.356178905307704,19.28052602051769,17.243209360635188,-5.357503034542077e-07,,
Dummy,0,4,17.338722751838905,19.27086041117808,17.229837024655243,-7.498989369025821e-06,,
Dummy,1,0,17.296325816159598,19.224360619972796,17.251672240802677,-8.590864457813652e-06,,
Dummy,1,1,17.314148568777107,19.241069930401164,17.24905975762641,-5.081658811523226e-06,,
Dummy,1,2,17.331625686401388,19.270438757169792,17.22816548265775,-1.0063774041890738e-05,,
Dummy,1,3,17.356178905307704,19.28052602051769,17.243209360635188,-5.357503034542077e-07,,
Dummy,1,4,17.338722751838908,19.27086041117808,17.229837024655243,-7.498989369025821e-06,,
Dummy,2,0,17.296325816159598,19.224360619972796,17.251672240802677,-8.590864457813652e-06,,
Dummy,2,1,17.314148568777107,19.241069930401164,17.24905975762641,-5.081658811745271e-06,,
Dummy,2,2,17.331625686401388,19.270438757169792,17.22816548265775,-1.0063774042112783e-05,,
Dummy,2,3,17.356178905307704,19.28052602051769,17.243209360635188,-5.357503034542077e-07,,
Dummy,2,4,17.338722751838905,19.27086041117808,17.229837024655243,-7.498989369025821e-06,,
Dummy,3,0,17.296325816159598,19.224360619972796,17.251672240802677,-8.590864457591607e-06,,
Dummy,3,1,17.314148568777107,19.241069930401164,17.24905975762641,-5.081658811523226e-06,,
Dummy,3,2,17.331625686401388,19.270438757169792,17.22816548265775,-1.0063774041890738e-05,,
Dummy,3,3,17.356178905307704,19.280526020517687,17.243209360635188,-5.357503034542077e-07,,
Dummy,3,4,17.338722751838905,19.27086041117808,17.229837024655243,-7.498989369025821e-06,,
Dummy,4,0,17.296325816159598,19.224360619972796,17.251672240802677,-8.590864457813652e-06,,
Dummy,4,1,17.314148568777107,19.241069930401164,17.24905975762641,-5.081658811523226e-06,,
Dummy,4,2,17.331625686401388,19.270438757169792,17.22816548265775,-1.0063774042112783e-05,,
Dummy,4,3,17.356178905307704,19.280526020517687,17.243209360635188,-5.357503034542077e-07,,
Dummy,4,4,17.338722751838905,19.27086041117808,17.229837024655243,-7.498989369025821e-06,,
LinearRegression,0,0,7.775009286797814,9.737622019607532,6.72775114866824,0.7434300749755026,0.8625987275098037,0.8566442700450966
LinearRegression,0,1,7.674154688943336,9.843003664731013,5.939120183848638,0.7383028069101283,0.85934244358441,0.850523351393657
LinearRegression,0,2,8.144258158678456,10.304082285025249,6.748916005655223,0.7140831167270664,0.8454184483768621,0.8356162569761986
LinearRegression,0,3,7.8837724850313995,10.092920609098208,6.336492524125555,0.7259712118127649,0.8530979179720106,0.8287190194318674
LinearRegression,0,4,7.748143284501791,10.090131785542507,6.189295799606834,0.7258459142529138,0.852571919777412,0.8699221132815268
LinearRegression,1,0,8.200211029346969,10.551482257878313,6.610937963821719,0.6987501302407774,0.8361262619929027,0.8379308020679394
LinearRegression,1,1,7.6523601714975955,9.889343575109157,6.5296288712780095,0.7358329163527564,0.8583339943202666,0.84096616319189
