gene,frequency
CG34423,1.0
mt:ND6,1.0
RNASEK,1.0
Hsp26,1.0
mt:CoIII,1.0
mt:ND4,1.0
sta,1.0
DnaJ-1,1.0
RpL3,1.0
Pabp2,1.0
CG3662,1.0
CG7582,1.0
ATPsynD,1.0
Gapdh1,1.0
HmgD,1.0
Cyt-c-p,1.0
Dscam4,1.0
Vha13,1.0
MRE16,1.0
mt:lrRNA,1.0
eEF1alpha1,1.0
TM4SF,1.0
Cht10,1.0
Hsromega,1.0
dpy,1.0
CG3793,0.96
CG31705,0.96
Dro,0.96
dpr21,0.96
Lsm10,0.92
CG14985,0.92
Tpi,0.92
slou,0.92
CG11000,0.92
Gapdh2,0.88
Act5C,0.88
Tbh,0.84
mt:ND1,0.84
cib,0.84
nUMI,0.84
CR42491,0.84
Imp,0.84
sona,0.8
roX2,0.8
Prat,0.8
vg,0.76
COX7AL,0.72
chrb,0.72
dgt2,0.72
Tsp42Ed,0.72
Lgr3,0.68
Cyp1,0.68
fz,0.68
stv,0.68
RpL39,0.64
CG12773,0.64
CG11768,0.64
Ns4,0.64
fng,0.64
CG30156,0.64
N,0.64
CR44749,0.6
arx,0.6
RpL22,0.56
mt:ND3,0.56
ple,0.52
Ald,0.52
Tsf1,0.48
CR43152,0.48
CG2016,0.44
RpS21,0.44
Vha68-1,0.44
spin,0.4
COX7A,0.4
mt:Cyt-b,0.4
FoxP,0.36
Nf-YA,0.36
CG5808,0.36
CG17167,0.36
CG44002,0.36
Hr38,0.36
fok,0.36
CG3104,0.32
CG5026,0.32
CG5890,0.32
Gpb5,0.32
CR32111,0.32
CG7084,0.32
RabX6,0.32
uzip,0.32
Msp300,0.32
CG3077,0.32
CG4250,0.28
CG5758,0.28
SAK,0.28
CG10376,0.28
kek3,0.28
Obp44a,0.28
CG41378,0.24
CG9689,0.24
CG12177,0.24
Nos,0.24
mab-21,0.24
AttB,0.24
CR46004,0.24
raw,0.24
Akap200,0.24
CG42540,0.24
CR45185,0.2
Ercc1,0.2
CG3294,0.2
CG32982,0.2
cype,0.2
asl,0.2
Rh3,0.2
CG31808,0.2
Hasp,0.2
CG10307,0.2
CR44854,0.16
CG15353,0.16
ytr,0.16
CG42541,0.16
DAT,0.16
nAChRalpha3,0.16
PGRP-LA,0.16
Skp2,0.16
Cbp53E,0.16
CR45470,0.16
CG6770,0.16
GstO3,0.16
snRNA:7SK,0.12
CG42365,0.12
CG32521,0.12
roX1,0.12
Uhg1,0.12
CR45479,0.12
smal,0.12
Pde9,0.08
pdgy,0.08
olf186-F,0.08
CG8369,0.08
rdgA,0.08
Hmgs,0.08
Irbp,0.08
CG14285,0.08
Zip88E,0.08
Treh,0.08
CG16739,0.08
igl,0.08
Myc,0.08
CG7544,0.08
Dbi,0.08
CG18467,0.08
DIP-delta,0.08
IA-2,0.04
CR32582,0.04
pxb,0.04
Pym,0.04
SP2353,0.04
CR40354,0.04
rtet,0.04
Rad17,0.04
Hsp70Bc,0.04
GABA-B-R3,0.04
CG1662,0.04
CG11221,0.04
RpII140,0.04
GluClalpha,0.04
CG5144,0.04
CG5745,0.04
Pkn,0.04
CG2617,0.04
sens-2,0.04
CG13707,0.04
CG18809,0.04
Hakai,0.04
l(3)psg2,0.04
CG8405,0.04
CG12116,0.04
hd,0.04
CG8765,0.04
CG8745,0.04
CG11892,0.04
CG8646,0.04
CR31386,0.04
Jheh1,0.04
CG14457,0.04
CG17803,0.04
CG8916,0.04
mamo,0.04
AttC,0.04
bru3,0.04
emc,0.04
Nep1,0.04
Nep2,0.04
CR45139,0.04
Octbeta3R,0.04
ADPS,0.04
dpr2,0.04
Npc2g,0.04
dpr5,0.04
TBC1D5,0.04
Tdc2,0.04
ninaB,0.04
Mmp1,0.04
CG33978,0.04
Atox1,0.04
Esyt2,0.04
CR46006,0.04
Ms,0.04
CAH1,0.04
NijA,0.04
CR45674,0.04
CG4004,0.04
CG31457,0.04
Edem1,0.04
nuf,0.04
CG31706,0.04
mt:ND2,0.04
apolpp,0.04
CG3494,0.04
Tsp42Ea,0.04
Orc6,0.04
kay,0.0
jbug,0.0
Mrtf,0.0
mnd,0.0
Mmp2,0.0
Mondo,0.0
msi,0.0
mRpL45,0.0
kat-60L1,0.0
Kap3,0.0
jv,0.0
jumu,0.0
jdp,0.0
MRE23,0.0
jnj,0.0
moody,0.0
jeb,0.0
jim,0.0
morgue,0.0
MP1,0.0
Mp,0.0
JhI-21,0.0
Kdm2,0.0
MtnA,0.0
mt:ND5,0.0
mtrm,0.0
mt:srRNA,0.0
mtt,0.0
IntS3,0.0
IntS12,0.0
mt:tRNA:Cys-GCA,0.0
Msr-110,0.0
mt:tRNA:Leu-TAG,0.0
mub,0.0
Muc12Ea,0.0
ine,0.0
inaE,0.0
Muc14A,0.0
inaD,0.0
ImpL3,0.0
InR,0.0
ITP,0.0
IRSp53,0.0
mspo,0.0
Irk2,0.0
Irc,0.0
MsR1,0.0
Mst77F,0.0
mt:ATPase8,0.0
Invadolysin,0.0
mthl1,0.0
Ir76a,0.0
mthl5,0.0
Ir56a,0.0
Ir47b,0.0
Mtl,0.0
Ip259,0.0
Inx2,0.0
mtDNA-helicase,0.0
mAChR-B,0.0
Mal-A5,0.0
laccase2,0.0
mam,0.0
Mau2,0.0
mav,0.0
Lac,0.0
mbc,0.0
Mipp1,0.0
mbl,0.0
mbt,0.0
mdlc,0.0
MED16,0.0
l(3)07882,0.0
l(3)04053,0.0
MED17,0.0
MED25,0.0
l(2)dtl,0.0
MBD-R2,0.0
Lkr,0.0
Lk,0.0
Liprin-gamma,0.0
Lmpt,0.0
LIMK1,0.0
Lim3,0.0
Lmx1a,0.0
Lim1,0.0
lov,0.0
mAChR-A,0.0
LpR2,0.0
Lpt,0.0
LRR,0.0
Lgr1,0.0
Lst8,0.0
lectin-46Cb,0.0
LamC,0.0
lt,0.0
luna,0.0
LpR1,0.0
klu,0.0
Mical,0.0
Klp54D,0.0
mIF3,0.0
klg,0.0
kirre,0.0
Kif3C,0.0
kibra,0.0
l(2)41Ab,0.0
kermit,0.0
kek5,0.0
mip120,0.0
kek2,0.0
mirr,0.0
kek1,0.0
Mlh1,0.0
Mlp84B,0.0
Kdm4A,0.0
Mip,0.0
l(2)37Cb,0.0
l(1)G0469,0.0
l(1)G0045,0.0
mEFTu2,0.0
kug,0.0
Kua,0.0
ktub,0.0
mei-9,0.0
MESR3,0.0
kn,0.0
MetRS-m,0.0
mfas,0.0
mgl,0.0
Kr-h1,0.0
mGluR,0.0
Mgstl,0.0
mh,0.0
Kr,0.0
mi,0.0
Ktl,0.0
exex,0.0
euc,0.0
Ets65A,0.0
Ets21C,0.0
Est-Q,0.0
erm,0.0
Epac,0.0
enok,0.0
Elp3,0.0
elB,0.0
Ekar,0.0
Eip93F,0.0
Eip74EF,0.0
heph,0.0
Eh,0.0
egr,0.0
Efa6,0.0
EDTP,0.0
ed,0.0
Ect4,0.0
Ect3,0.0
ebd2,0.0
Eaat1,0.0
E23,0.0
e,0.0
Dys,0.0
dwg,0.0
Eip63F-1,0.0
flw,0.0
FLASH,0.0
fkh,0.0
Fkbp14,0.0
FK506-bp2,0.0
Fili,0.0
FIG4,0.0
Fife,0.0
Fhos,0.0
fh,0.0
Fgop2,0.0
Fer2,0.0
Fer1,0.0
ey,0.0
fd59A,0.0
fd102C,0.0
Fcp3C,0.0
Fbxl4,0.0
Fbl6,0.0
fax,0.0
Fas3,0.0
Fas2,0.0
FAM21,0.0
fabp,0.0
eys,0.0
e(y)3,0.0
e(y)2b,0.0
FER,0.0
Dop2R,0.0
Dop1R2,0.0
Dop1R1,0.0
dnd,0.0
DNaseII,0.0
DNApol-alpha50,0.0
dmt,0.0
dmrt99B,0.0
dlp,0.0
Dll,0.0
Dl,0.0
disp,0.0
disco-r,0.0
dve,0.0
Dis3,0.0
DIP-zeta,0.0
DIP-theta,0.0
DIP-gamma,0.0
DIP-eta,0.0
DIP-beta,0.0
DIP-alpha,0.0
DIP2,0.0
Dif,0.0
Dhpr,0.0
DhpD,0.0
Dh44-R1,0.0
Dh44,0.0
disco,0.0
Dtg,0.0
dsx,0.0
Dsk,0.0
Dscam3,0.0
Dscam2,0.0
Drl-2,0.0
Drip,0.0
Drgx,0.0
Drep3,0.0
Drep1,0.0
Dredd,0.0
Dr,0.0
dpr9,0.0
DopEcR,0.0
dpr6,0.0
dpr3,0.0
dpr20,0.0
dpr18,0.0
dpr17,0.0
dpr16,0.0
dpr15,0.0
dpr13,0.0
dpr11,0.0
dpr10,0.0
dpr1,0.0
dos,0.0
dor,0.0
dpr8,0.0
HLH3B,0.0
His2B:CG33868,0.0
HIPP1,0.0
Hipk,0.0
Hip1,0.0
hig,0.0
hid,0.0
Hexo2,0.0
Mur2B,0.0
hdc,0.0
HBS1,0.0
hbs,0.0
hbn,0.0
FMRFa,0.0
ham,0.0
haf,0.0
H,0.0
Gyc88E,0.0
GstT1,0.0
GstE3,0.0
GstE2,0.0
GstE12,0.0
GstE11,0.0
GstE1,0.0
GstD9,0.0
GstD3,0.0
GstD11,0.0
hb,0.0
ImpL2,0.0
ImpE1,0.0
Ilp6,0.0
Ilp2,0.0
if,0.0
Idgf4,0.0
Idgf3,0.0
hyx,0.0
Hug,0.0
hth,0.0
Hsp83,0.0
Hsp70Ba,0.0
Hsp70Ab,0.0
HmgZ,0.0
Hsp68,0.0
