model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,9.471839464882946,12.93980983537071,8.132107023411372,-0.0008089811453642071,,
Dummy,0,1,9.235607580824972,12.422549159962378,8.279264214046822,-0.0008684677198580459,,
Dummy,0,2,9.190256410256412,12.411726179124406,8.26923076923077,-0.0006482003311145679,,
Dummy,0,3,9.402762994252164,12.863129909920897,8.181969949916528,-8.710069424799904e-05,,
Dummy,0,4,9.41289173230552,12.86953706860493,8.1669449081803,-0.0002307490415951463,,
Dummy,1,0,9.471839464882944,12.93980983537071,8.132107023411372,-0.000808981145363985,,
Dummy,1,1,9.235607580824974,12.42254915996238,8.279264214046822,-0.0008684677198580459,,
Dummy,1,2,9.190256410256412,12.411726179124406,8.26923076923077,-0.0006482003311143458,,
Dummy,1,3,9.402762994252164,12.863129909920897,8.181969949916528,-8.710069424799904e-05,,
Dummy,1,4,9.41289173230552,12.86953706860493,8.1669449081803,-0.0002307490415951463,,
Dummy,2,0,9.471839464882946,12.93980983537071,8.132107023411372,-0.0008089811453642071,,
Dummy,2,1,9.235607580824974,12.422549159962378,8.279264214046822,-0.0008684677198578239,,
Dummy,2,2,9.19025641025641,12.411726179124406,8.26923076923077,-0.0006482003311143458,,
Dummy,2,3,9.402762994252166,12.863129909920895,8.181969949916528,-8.7100694247777e-05,,
Dummy,2,4,9.41289173230552,12.86953706860493,8.1669449081803,-0.0002307490415951463,,
Dummy,3,0,9.471839464882944,12.93980983537071,8.132107023411372,-0.000808981145363985,,
Dummy,3,1,9.235607580824974,12.422549159962378,8.279264214046822,-0.000868467719858268,,
Dummy,3,2,9.190256410256412,12.411726179124406,8.26923076923077,-0.0006482003311143458,,
Dummy,3,3,9.402762994252162,12.863129909920895,8.181969949916528,-8.7100694247777e-05,,
Dummy,3,4,9.41289173230552,12.86953706860493,8.1669449081803,-0.0002307490415951463,,
Dummy,4,0,9.471839464882946,12.93980983537071,8.132107023411372,-0.0008089811453642071,,
Dummy,4,1,9.235607580824972,12.422549159962378,8.279264214046822,-0.0008684677198578239,,
Dummy,4,2,9.19025641025641,12.411726179124406,8.26923076923077,-0.0006482003311143458,,
Dummy,4,3,9.402762994252164,12.863129909920895,8.181969949916528,-8.7100694247777e-05,,
Dummy,4,4,9.41289173230552,12.86953706860493,8.1669449081803,-0.0002307490415951463,,
LinearRegression,0,0,5.715329764447568,8.087994577158172,4.057501103055822,0.6089996835280826,0.7829263073556476,0.7040739909914264
LinearRegression,0,1,6.3769880354421975,9.221236855944463,4.627811236973173,0.44851473418304144,0.697914942434732,0.6755625381786377
LinearRegression,0,2,6.40000453012164,8.9661698052995,4.690289657841227,0.4778070961055322,0.7037070979416422,0.7162746117121567
LinearRegression,0,3,6.383801236922476,9.437844807420074,4.026469110303804,0.4616184387858594,0.7014858952560955,0.7128079362484684
LinearRegression,0,4,5.849463956277762,8.079767545167957,4.444859634297025,0.60574965338936,0.7819374035901921,0.6755464389792915
LinearRegression,1,0,5.5169970131254615,7.408895424279074,4.417332939468777,0.6719029423129441,0.8214931451269456,0.7218032495671828
LinearRegression,1,1,5.431621113856818,7.389735598725492,4.065261881648874,0.6458287057005405,0.8071677558904261,0.7411764375779817
LinearRegression,1,2,6.5940225476066425,9.970370085077676,4.193354010760757,0.35428688875583747,0.6486256709169929,0.6663891654988947
LinearRegression,1,3,6.108651506772924,8.445516776952939,4.127086470402709,0.5688811897069346,0.7560272585265981,0.7082747311044199
LinearRegression,1,4,5.497938690752951,8.070296977987054,3.7336927849497314,0.6066733399017659,0.7791344952640656,0.730932734199522
LinearRegression,2,0,6.010034191839072,8.618405166613533,4.1300824919732015,0.556034502504966,0.7462237032097725,0.7037158786836132
LinearRegression,2,1,5.935874815574864,7.907906067256807,4.527494137643414,0.5944181023438867,0.7713948541046288,0.7044168758869879
LinearRegression,2,2,6.190222781488628,8.641764024528447,4.387956333730081,0.5149105234959753,0.7181638475197717,0.6598245800825498
LinearRegression,2,3,5.9869363040487125,8.022628128707856,4.265363953788508,0.6109747074662113,0.785112073350572,0.6877522428246569
LinearRegression,2,4,5.834799870406552,8.120871936570406,4.094462250890675,0.6017280917354331,0.775950086350753,0.7632798142843802
LinearRegression,3,0,6.681852372114179,8.917265042242903,5.058458674734073,0.5247099131301987,0.7368786907983904,0.7159780759973773
LinearRegression,3,1,6.121569772977711,9.228594032619503,4.070962764659521,0.4476343765501838,0.6950574290050732,0.6975148894888358
LinearRegression,3,2,6.388236169308825,9.539693639092926,4.100757826271266,0.40886604975881935,0.6569347776478474,0.6515328513426726
LinearRegression,3,3,5.529110772947621,7.227414000692121,4.505203477019119,0.6842739766942473,0.828071953658065,0.7500948343133736
LinearRegression,3,4,5.902424280970013,8.670490501850987,3.8524136483756024,0.5459939033507445,0.7409745220692487,0.7161712573147481
LinearRegression,4,0,5.49444836835426,7.740586377242418,3.6804674098758063,0.6418679994607546,0.8028284205090094,0.7547999695473967
LinearRegression,4,1,6.318072661064429,8.459770472882978,5.068501566230539,0.5358346479437337,0.7351536381238537,0.697486071174021
LinearRegression,4,2,5.662858128350771,7.420839812270148,4.421334079959596,0.6422965237211147,0.812242746942029,0.7187581681700825
LinearRegression,4,3,7.051527587679128,10.214408666948227,4.45333199174361,0.3693753055580644,0.6348719922262092,0.6094681248184372
LinearRegression,4,4,5.8649964992668195,8.290918798775099,4.151115800368025,0.5848742487189147,0.7673760170922665,0.675421575137002
ElasticNet,0,0,5.421188149055098,8.012200760659212,3.62476923117972,0.6162935923027552,0.8031975449885989,0.7468783093514488
ElasticNet,0,1,6.165267465014067,8.809086492125576,4.374841382868366,0.49671115211937367,0.7184742092436547,0.6877220658858207
ElasticNet,0,2,5.893364927735927,8.392778750788931,3.7103414485531907,0.5424604972563823,0.7366395158618516,0.7461115078966799
ElasticNet,0,3,5.978487658999682,8.7919271228146,3.7916379802662172,0.5327894153069821,0.7324376981902415,0.7461236878298109
ElasticNet,0,4,5.766935865262246,8.08175996481938,3.9792956682951077,0.6055551901241878,0.7932964049689585,0.6999811911755454
ElasticNet,1,0,5.1433309620278465,7.160975186888011,4.054120075873642,0.6934934612148047,0.835453585665157,0.7472760119646483
ElasticNet,1,1,5.059937378725436,7.106031240334845,3.784610468549129,0.6725011465980494,0.8248013329091427,0.7871056268141198
ElasticNet,1,2,6.34651930784736,8.894074702417145,4.535213549501737,0.48617102270706525,0.7038534134573657,0.6896668792180329
ElasticNet,1,3,5.88387960713923,8.36167283053595,3.987360428100075,0.577398673687384,0.7645387182629315,0.7351102769531028
ElasticNet,1,4,5.394726841440829,7.962856099796635,3.47457560921229,0.6170764414959865,0.8004792855062335,0.7524717469944463
ElasticNet,2,0,5.7344387817224165,8.3714176976095,3.8834083946074784,0.581116330012256,0.7636311708625954,0.7261113946169554
ElasticNet,2,1,5.67643448124607,7.758646094151481,3.8787981345801095,0.609584147577895,0.7823650442657467,0.723183002265471
ElasticNet,2,2,5.916519006187237,8.380049454496657,4.26169528463736,0.5438473416689107,0.7457311027735968,0.7154659700518168
ElasticNet,2,3,5.603967431477402,7.742249268770253,3.747562242711374,0.6376912575763227,0.80281655002798,0.7239591066007857
ElasticNet,2,4,5.615168074393761,7.879194171871554,3.837274676584392,0.6250805617830593,0.7936009727040917,0.7735645551764834
ElasticNet,3,0,6.256576942252482,8.477294494271186,4.807822077734041,0.5704537350764047,0.7581176534763622,0.736975334326846
ElasticNet,3,1,5.855017972998349,8.456524709422,4.314112172740117,0.5361907526231813,0.7346710034061984,0.7382027477180263
ElasticNet,3,2,6.027044408248483,8.82075121094476,3.5956679127551996,0.4946081980053334,0.7042124693931129,0.6818866298356983
ElasticNet,3,3,5.355277821545134,7.193869271781323,4.410285891625211,0.68719794531983,0.8308659213304176,0.7505117863262176
ElasticNet,3,4,5.705308447028314,8.573683609166732,3.5991154826982097,0.5560753540514958,0.7635661687427275,0.7544089727829071
ElasticNet,4,0,5.494687458998512,7.709265777089347,3.555192749730397,0.6447603425606123,0.8079652674459543,0.7646759511819634
ElasticNet,4,1,5.798236922685142,8.095780164744104,4.2398157285472795,0.5749177483945227,0.7682424155256116,0.7480297930698838
ElasticNet,4,2,5.383159656621023,7.249804121924915,4.380742681786104,0.6585952238123178,0.8134255268595074,0.7392371532919642
ElasticNet,4,3,6.614851382167761,9.472611886899642,4.387688841079966,0.45764455884623745,0.6788263131989691,0.6367408274030536
ElasticNet,4,4,5.518651905442254,7.980419874944944,4.060361930800022,0.6153853395724103,0.7939058430794734,0.7089107921322134
SVR,0,0,5.959858837346262,8.598248598070196,4.430324958275149,0.5581087508464699,0.7538259161732348,0.6658279564288452
SVR,0,1,6.200612999348535,9.172379517964318,3.465956156688872,0.4543431762466832,0.6850852852643484,0.6972195017619838
SVR,0,2,5.9598023932135655,8.882083892141216,3.4054155252987552,0.4875555562909345,0.699488978526858,0.763723327042479
SVR,0,3,6.427662033913457,9.286830026700393,4.413887665545012,0.47870986306048957,0.6929606069833503,0.7048656432813428
SVR,0,4,6.276462891493931,9.138622492415289,3.8791782284436103,0.4956455859954636,0.7047022535244887,0.6744832600868567
SVR,1,0,5.481708493067638,8.08739444707531,3.3490329560256784,0.6090577059079245,0.7887577470140033,0.7398168385179867
SVR,1,1,5.377146952267503,8.129174155426714,3.003717329273349,0.5714037030329935,0.75784215339753,0.7819363415942093
SVR,1,2,6.596087827377438,9.370052903934258,4.313196121779603,0.42970293983377317,0.6786648459694946,0.6626125027778864
SVR,1,3,6.244472236897919,9.064222324296733,4.246448356333435,0.5034012608099667,0.7108567010784583,0.7392320404633318
SVR,1,4,6.014219011316811,8.876899015151803,3.8685825953225645,0.524120595084361,0.7253713262990459,0.740053303385574
SVR,2,0,5.880079385268779,8.90528018651621,3.5562855104580215,0.5259866398336861,0.7285166632374336,0.743959424108871
SVR,2,1,6.500260824421777,8.992533615898877,4.06348665291457,0.47553115022130454,0.692993248461978,0.6766756455883605
SVR,2,2,6.183356671920749,8.817483292802999,4.022262020220506,0.4949826044611696,0.7073456343422133,0.68126348949165
SVR,2,3,5.921581473315385,8.675011753424053,3.6487739949545883,0.5451327618121318,0.739947243240509,0.7217457710259969
SVR,2,4,6.126274164426151,9.105978848058982,3.6113964172380406,0.49924231210024195,0.7069878017422874,0.7583991070372439
SVR,3,0,6.314460469300974,8.800072221143495,4.646868506514404,0.5371205728277496,0.7411016633248431,0.779049031596556
SVR,3,1,6.388891635516336,9.567578117537101,3.4840415137809,0.4063101930134425,0.6413240849257698,0.6437164991635727
