model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
Dummy,0,0,9.289086775293672,12.501299417166145,7.095172413793103,-1.9951830410036564e-08,,
Dummy,0,1,9.289086775293672,12.501299417166146,7.095172413793103,-1.995183063208117e-08,,
Dummy,0,2,9.333698613457528,12.535522123659888,7.093663911845731,-2.1286880902415817e-07,,
Dummy,0,3,9.364328873871818,12.550057928324705,7.1005509641873275,-5.239795475509013e-06,,
Dummy,0,4,9.315320457208953,12.532100341015482,7.089531680440771,-4.468192435158613e-06,,
Dummy,1,0,9.289086775293672,12.501299417166145,7.095172413793103,-1.995183018799196e-08,,
Dummy,1,1,9.289086775293672,12.501299417166146,7.095172413793103,-1.9951830410036564e-08,,
Dummy,1,2,9.333698613457528,12.535522123659888,7.093663911845731,-2.1286880880211356e-07,,
Dummy,1,3,9.364328873871816,12.550057928324705,7.1005509641873275,-5.239795475509013e-06,,
Dummy,1,4,9.315320457208957,12.532100341015482,7.089531680440771,-4.468192434936569e-06,,
Dummy,2,0,9.289086775293672,12.501299417166145,7.095172413793103,-1.9951830410036564e-08,,
Dummy,2,1,9.289086775293672,12.501299417166146,7.095172413793103,-1.995183063208117e-08,,
Dummy,2,2,9.333698613457528,12.535522123659888,7.093663911845731,-2.1286880880211356e-07,,
Dummy,2,3,9.36432887387182,12.550057928324705,7.1005509641873275,-5.239795475509013e-06,,
Dummy,2,4,9.315320457208957,12.532100341015482,7.089531680440771,-4.468192434936569e-06,,
Dummy,3,0,9.289086775293672,12.501299417166145,7.095172413793103,-1.9951830410036564e-08,,
Dummy,3,1,9.289086775293672,12.501299417166146,7.095172413793103,-1.9951830854125774e-08,,
Dummy,3,2,9.333698613457528,12.535522123659888,7.093663911845731,-2.1286880902415817e-07,,
Dummy,3,3,9.364328873871818,12.550057928324705,7.1005509641873275,-5.239795475509013e-06,,
Dummy,3,4,9.315320457208957,12.532100341015482,7.089531680440771,-4.468192434936569e-06,,
Dummy,4,0,9.289086775293672,12.501299417166145,7.095172413793103,-1.9951830410036564e-08,,
Dummy,4,1,9.289086775293672,12.501299417166145,7.095172413793103,-1.9951830410036564e-08,,
Dummy,4,2,9.33369861345753,12.53552212365989,7.093663911845731,-2.1286880902415817e-07,,
Dummy,4,3,9.364328873871818,12.550057928324705,7.1005509641873275,-5.239795475509013e-06,,
Dummy,4,4,9.315320457208953,12.532100341015482,7.089531680440771,-4.468192434936569e-06,,
LinearRegression,0,0,7.853455844693878,13.54721815961352,4.262050492847301,-0.17432942686481434,0.4763855290482364,0.6809595912352358
LinearRegression,0,1,6.752569052968449,9.926588295296392,4.314357052310745,0.369493287650714,0.6519370455497361,0.72406055091032
LinearRegression,0,2,5.959602848063292,8.408887838467523,4.308974599287776,0.5500208857916626,0.7460610796826935,0.691511595774504
LinearRegression,0,3,6.066181813707523,8.724025223466805,4.130232509286998,0.5167802905367906,0.7244647674629182,0.7052626985917044
LinearRegression,0,4,7.608847675770023,13.077386283081914,5.074164651148568,-0.08892035973117474,0.47454498120769384,0.6218069958687582
LinearRegression,1,0,6.875475981462796,11.429856757899273,4.09627112730837,0.16406738514279418,0.5912001731899321,0.7125309211033138
LinearRegression,1,1,6.469005831821972,9.329738819412803,4.436280071444534,0.4430340226821118,0.6829908525215274,0.6841509895503005
LinearRegression,1,2,6.289107276715414,9.045917558088027,4.2218824307602745,0.4792605406742866,0.7002263858203392,0.6959904076577901
LinearRegression,1,3,6.422910016432007,10.552223737966733,4.104706801815421,0.29303356243817125,0.599460686453672,0.7468564344460218
LinearRegression,1,4,6.2375050068085125,9.313754987080063,3.8521861367247787,0.44766338833715724,0.6827987064273049,0.6906837264475324
LinearRegression,2,0,6.204883849783922,8.6914621449764,4.75872569291473,0.5166347994712495,0.7210324906369189,0.6523103603281806
LinearRegression,2,1,5.828288865807541,8.260385311344415,3.8083192992052677,0.5633933903169502,0.7528321162949527,0.6870509818479316
LinearRegression,2,2,7.09385594470381,12.967878379025143,4.356165679215774,-0.07017079426501804,0.5151782419681563,0.7298093195584324
LinearRegression,2,3,6.866425196676991,9.8198336038234,4.538640289788454,0.38776370482056166,0.6522491682801008,0.7300235991164941
LinearRegression,2,4,6.481225765295574,9.226335820078042,4.481465399496287,0.4579832228797516,0.6893437720911,0.6986242050128624
LinearRegression,3,0,6.313918115834605,9.01768636309673,4.376420615557008,0.47966870462954714,0.6959991703815216,0.6797608071704145
LinearRegression,3,1,6.6237678843177195,10.297949397910093,4.477462706187051,0.321435396418164,0.6189334040889626,0.6921053689778985
LinearRegression,3,2,7.01783104593567,10.968463079980209,4.672951773042772,0.23439141876542957,0.6068752392030622,0.6866169817843529
LinearRegression,3,3,6.253561742556525,10.500821785655976,3.844343261675178,0.29990433161460084,0.6156310379112513,0.7344289879208715
LinearRegression,3,4,6.782954317872163,10.623741764925365,4.110153259204136,0.2813635774479759,0.598139530920871,0.7283981903808165
LinearRegression,4,0,6.24061055159944,9.257652254936678,4.148937994026062,0.45160760771118114,0.7017750240976176,0.7178767142507142
LinearRegression,4,1,6.973498730798605,11.698859470702127,4.5626396641374845,0.12425686223633459,0.5823747160631846,0.6610867056946083
LinearRegression,4,2,7.280877259847033,11.535044238411603,4.000754431248016,0.1532528064048464,0.5430826834250537,0.6801286299890178
LinearRegression,4,3,6.47916029288589,9.076515405890634,4.329634815852593,0.4769428862599876,0.6931022540551817,0.6824470346818348
LinearRegression,4,4,6.633859500875929,9.584422286541066,4.218860025246972,0.41509397604195286,0.6714529856331586,0.7331054752423939
ElasticNet,0,0,6.8338090305838,10.163857319684965,4.352626916961642,0.3389918500704602,0.605687777996844,0.7036550957516243
ElasticNet,0,1,6.306508732986842,9.126592477412382,3.992897261255873,0.4670247866739965,0.689928709212897,0.7587318378948887
ElasticNet,0,2,5.586259455177524,8.160019956844236,3.7419250156651387,0.5762617400545047,0.7660234964860495,0.7357419063755495
ElasticNet,0,3,5.678517174869088,8.377956301998148,3.991522637120344,0.5543570951983119,0.7486448314130699,0.7230068527555329
ElasticNet,0,4,6.753875545029159,10.731693405023034,4.273874443596064,0.2666847324651266,0.5595987439246343,0.6575386386396465
